State/Territory name,Abbrev,Postal,Type,Capital
Ashmore and Cartier Islands,,,External,Offshore Anchorage
Australian Antartic Territory,,,External,Davis Station
Australian Capital Territory,ACT,ACT,Territory,Canberra
Christmas Island,,,External,Flying Fish Cove
Cocos (Keeling) Islands,,,External,West Island
Coral Sea Islands,,,External,Willis Island
Heard Island and McDonald Islands,,,External,Atlas Cove
Jervis Bay Territory,,JBT,Territory,Jervis Bay Village
New South Wales,NSW,NSW,State,Sydney
Norfolk Island,,,External,Kingston
Northern Territory,NT,NT,Territory,Darwin
Queensland,Qld,QLD,State,Brisbane
South Australia,SA,SA,State,Adelaide
Tasmania,Tas,TAS,State,Hobart
Victoria,Vic,VIC,State,Melbourne
Western Australia,WA,WA,State,Perth
