NL, NL, NEWFOUNDLAND AND LABRADOR, NEWFOUNDLAND AND LABRADOR, NEWFOUNDLAND AND LABRADOR
PE, PE, PRINCE EDWARD ISLAND, PRINCE EDWARD ISLAND, PRINCE EDWARD ISLAND
ZZ, ZZZ, , , QUEBEC - ATLANTIC
ZZ, ZZZ, DE, , FRANCE-MPB
QC, QC, QUEBEC, QUEBEC, CANADA-QUEBEC
ZZ, ZZZ, , , SASKATCHEWAN - MANITOBA
NS, NS, NOVA SCOTIA, NOVA SCOTIA, NOVA SCOTIA
ZZ, ZZZ, , , NETHERLANDS-BEURSPRIJS
SK, SK, SASKATCHEWAN, SASKATCHEWAN, SASKATCHEWAN
QC, QC, QUEBEC, QUEBEC, QUEBEC
BC, BC, BRITISH COLUMBIA, BRITISH COLUMBIA, BRITISH COLUMBIA
AB, AB, ALBERTA, ALBERTA, ALBERTA
DE, , , , MALAYSIA
ON, ON, ONTARIO, ONTARIO, CANADA-ONTARIO
ON, ON, ONTARIO, ONTARIO, ONTARIO
ZZ, ZZZ, , , BRITISH COLUMBIA - ALBERTA
ZZ, ZZZ, , , MANITOBA
ZZ, ZZZ, , , TOTAL EAST
ZZ, ZZZ, , , WESTERN PROVINCES
NB, NB, NEW BRUNSWICK, NEW BRUNSWICK, NEW BRUNSWICK
ZZ, ZZZ, , , EASTERN PROVINCES
ZZ, ZZZ, , , TOTAL WEST
