Sort Order,ISO 3166-1 2 Letter Code,ISO 3166-1 3 Letter Code,Common Name,Formal Name,Type,Sub Type,Sovereignty,Capital,ISO 4217 Currency Code,ISO 4217 Currency Name,ITU-T Telephone Code,ISO 3166-1 Number,IANA Country Code TLD
269,EU,EUP,European,EU MEMBER STATES- EVOLUTIVE (EU15 UNTIL 30/04/2004/ EU25 UNTIL 31/12/2006/ EU27 UNTIL 30/06/2013/ EU 28 SINCE 01/07/2013),,,,,EUR,Euro,,,
270,EU,EUP,EU12_EXTRA,EU12_EXTRA,,,,,EUR,Euro,,,
271,EU,EUP,EU12_INTRA,EU12_INTRA,,,,,EUR,Euro,,,
272,EU,EUP,EU15_EXTRA,EU15_EXTRA,,,,,EUR,Euro,,,
273,EU,EUP,EU15_INTRA,EU15_INTRA,,,,,EUR,Euro,,,
274,EU,EUP,EU25_EXTRA,EU25_EXTRA,,,,,EUR,Euro,,,
275,EU,EUP,EU25_INTRA,EU25_INTRA,,,,,EUR,Euro,,,
276,EU,EUP,EU27_EXTRA,EU27_EXTRA,,,,,EUR,Euro,,,
277,EU,EUP,EU27_INTRA,EU27_INTRA,,,,,EUR,Euro,,,
278,EU,EUP,EU28_EXTRA,EU28_EXTRA,,,,,EUR,Euro,,,
279,EU,EUP,EU28_INTRA,EU28_INTRA,,,,,EUR,Euro,,,
280,EU,EUP,EA12,EURO AREA 12 (AT/ BE/ DE/ ES/ FI/ FR/ GR/ IE/ IT/ LU/ NL/ PT),,,,,,,,,
281,EU,EUP,EA13,EURO AREA 13 (AT/ BE/ DE/ ES/ FI/ FR/ GR/ IE/ IT/ LU/ NL/ PT/SI),,,,,,,,,
282,EU,EUP,EA15,EURO AREA 15 (AT/ BE/ CY/ DE/ ES/ FI/ FR/ GR/ IE/ IT/ LU/ MT/ NL/ PT/ SI),,,,,,,,,
283,EU,EUP,EA16,EURO AREA 16 (AT/ BE/ CY/ DE/ ES/ FI/ FR/ GR/ IE/ IT/ LU/ MT/ NL/ PT/ SI/ SK),,,,,,,,,
284,EU,EUP,EA17,EURO AREA 17 (AT/ BE/ CY/ DE/ EE/ ES/ FI/ FR/ GR/ IE/ IT/ LU/ MT/ NL/ PT/ SI/ SK),,,,,,,,,
285,EU,EUP,EA18,EURO AREA 18 (AT/ BE/ CY/ DE/ EE/ ES/ FI/ FR/ GR/ IE/ IT/ LU/LV/ MT/ NL/ PT/ SI/ SK),,,,,,,,,
286,EU,EUP,EU12,EU12 (BE/ DE/ DK/ ES/ FR/ GB/ GR/ IE/ IT/ NL/ PT),,,,,,,,,
287,EU,EUP,EU15,EU15 (AT/ BE/ DE/ DK/ ES/ FI/ FR/ GB/ GR/ IE/ IT/ LU/ NL/ PT/ SE),,,,,,,,,
288,EU,EUP,EU25,EU25 (AT/ BE/ CY/ CZ/ DE/ DK/ EE/ ES/ FI/ FR/ GB/ GR/ HU/ IE/ IT/ LT/ LU/ LV/ MT/ NL/ PL/ PT/ SE/ SI/ SK),,,,,,,,,
289,EU,EUP,EU27,EU27 (AT/ BE/ BG/ CY/ CZ/ DE/ DK/ EE/ ES/ FI/ FR/ GB/ GR/ HU/ IE/ IT/ LT/ LU/ LV/ MT/ NL/ PL/ PT/ RO/ SE/ SI/ SK),,,,,,,,,
290,EU,EUP,EU28,EU28 (AT/ BE/ BG/ CY/ CZ/ DE/ DK/ EE/ ES/ FI/ FR/ GB/ GR/ HR/HU/ IE/ IT/ LT/ LU/ LV/ MT/ NL/ PL/ PT/ RO/ SE/ SI/ SK),,,,,,,,,
291,EU,EUP,EUROZONE,EUROZONE (Evol.),,,,,,,,,
