GEO_LEVEL, GROUP_CODE, GROUP_NAME, GROUP_FORMAL, GROUP_ORIGINAL
0, EUROPEAN, EUROPEAN, EU MEMBER STATES- EVOLUTIVE (EU15 UNTIL 30/04/2004/ EU25 UNTIL 31/12/2006/ EU27 UNTIL 30/06/2013/ EU 28 SINCE 01/07/2013), EU MEMBER STATES- EVOLUTIVE (EU15 UNTIL 30/04/2004/ EU25 UNTIL 31/12/2006/ EU27 UNTIL 30/06/2013/ EU 28 SINCE 01/07/2013)
0, EUROPEAN, EUROPEAN, EU MEMBER STATES- EVOLUTIVE (EU15 UNTIL 30/04/2004/ EU25 UNTIL 31/12/2006/ EU27 UNTIL 30/06/2013/ EU 28 SINCE 01/07/2013), EUROPEAN
0, EU12_EXTRA, EU12_EXTRA, EU12_EXTRA, EU12_EXTRA
0, EU12_INTRA, EU12_INTRA, EU12_INTRA, EU12_INTRA
0, EU15_EXTRA, EU15_EXTRA, EU15_EXTRA, EU15_EXTRA
0, EU15_INTRA, EU15_INTRA, EU15_INTRA, EU15_INTRA
0, EU25_EXTRA, EU25_EXTRA, EU25_EXTRA, EU25_EXTRA
0, EU25_INTRA, EU25_INTRA, EU25_INTRA, EU25_INTRA
0, EU27_EXTRA, EU27_EXTRA, EU27_EXTRA, EU27_EXTRA
0, EU27_INTRA, EU27_INTRA, EU27_INTRA, EU27_INTRA
0, EU28_EXTRA, EU28_EXTRA, EU28_EXTRA, EU28_EXTRA
0, EU28_INTRA, EU28_INTRA, EU28_INTRA, EU28_INTRA
0, EA12, EA12, EURO AREA 12 (AT/ BE/ DE/ ES/ FI/ FR/ GR/ IE/ IT/ LU/ NL/ PT), EA12
0, EA13, EA13, EURO AREA 13 (AT/ BE/ DE/ ES/ FI/ FR/ GR/ IE/ IT/ LU/ NL/ PT/SI), EA13
0, EA15, EA15, EURO AREA 15 (AT/ BE/ CY/ DE/ ES/ FI/ FR/ GR/ IE/ IT/ LU/ MT/ NL/ PT/ SI), EA15
0, EA16, EA16, EURO AREA 16 (AT/ BE/ CY/ DE/ ES/ FI/ FR/ GR/ IE/ IT/ LU/ MT/ NL/ PT/ SI/ SK), EA16
0, EA17, EA17, EURO AREA 17 (AT/ BE/ CY/ DE/ EE/ ES/ FI/ FR/ GR/ IE/ IT/ LU/ MT/ NL/ PT/ SI/ SK), EA17
