GEO_LEVEL, GEO_CODE2, GEO_CODE3, GEO, GEO_FORMAL, AREA, AREA_ORIGINAL
3, CA, CAN, CANADA, , QUEBEC - ATLANTIC, QUEBEC - ATLANTIC
3, CA, CAN, CANADA, , SASKATCHEWAN - MANITOBA, SASKATCHEWAN - MANITOBA
3, CA, CAN, CANADA, , BRITISH COLUMBIA - ALBERTA, BRITISH COLUMBIA - ALBERTA
3, CA, CAN, CANADA, , TOTAL EAST, TOTAL EAST
3, CA, CAN, CANADA, , WESTERN PROVINCES, WESTERN PROVINCES
3, CA, CAN, CANADA, , EASTERN PROVINCES, EASTERN PROVINCES
3, CA, CAN, CANADA, , TOTAL WEST, TOTAL WEST
3, US, USA, UNITED STATES, UNITED STATES OF AMERICA, MD & DE, MD & DE
3, US, USA, UNITED STATES, UNITED STATES OF AMERICA, REGION 7 (IA KS MO NE), REGION 7 (IA KS MO NE)
3, US, USA, UNITED STATES, UNITED STATES OF AMERICA, NEW ENGLAND STATES, NEW ENGLAND STATES
3, US, USA, UNITED STATES, UNITED STATES OF AMERICA, REGION 4 (AL FL GA KY MS NC SC), REGION 4 (AL FL GA KY MS NC SC)
3, US, USA, UNITED STATES, UNITED STATES OF AMERICA, REGION 10 (AK ID OR WA), REGION 10 (AK ID OR WA)
3, US, USA, UNITED STATES, UNITED STATES OF AMERICA, REGION 2 (NY NJ), REGION 2 (NY NJ)
3, US, USA, UNITED STATES, UNITED STATES OF AMERICA, REGION 1 (CT ME NH VT MA RI), REGION 1 (CT ME NH VT MA RI)
3, US, USA, UNITED STATES, UNITED STATES OF AMERICA, REGION 8 (CO MT ND SD UT WY), REGION 8 (CO MT ND SD UT WY)
3, US, USA, UNITED STATES, UNITED STATES OF AMERICA, REGION 3 (DE-MD PA WV VA), REGION 3 (DE-MD PA WV VA)
3, US, USA, UNITED STATES, UNITED STATES OF AMERICA, REGION 6 (AR LA NM OK TX), REGION 6 (AR LA NM OK TX)
3, US, USA, UNITED STATES, UNITED STATES OF AMERICA, REGION 5 (IL IN MI MN OH WI), REGION 5 (IL IN MI MN OH WI)
3, US, USA, UNITED STATES, UNITED STATES OF AMERICA, USA-IOWA_MINNESOTA, USA-IOWA_MINNESOTA
3, US, USA, UNITED STATES, UNITED STATES OF AMERICA, REGION 9 (AZ CA HI NV), REGION 9 (AZ CA HI NV)
3, GB, GBR, UNITED KINGDOM, UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND, LEEWARD-WINDWARD ISLANDS, LEEWARD-WINDWARD ISLANDS(*)
3, GB, GBR, UNITED KINGDOM, UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND, LEEWARD-WINDWARD ISLANDS, LEEWARD-WINDWARD ISLANDS
