GEO_LEVEL, GEO_CODE2, GEO_CODE3, GEO, GEO_FORMAL, AREA, AREA_ORIGINAL, REGION_ABBR, REGION_CODE, REGION
4, CA, CAN, CANADA, , QUEBEC - ATLANTIC, QUEBEC - ATLANTIC, QC, QC, QUEBEC
4, CA, CAN, CANADA, , QUEBEC - ATLANTIC, QUEBEC - ATLANTIC, NB, NB, NEW BRUNSWICK
4, CA, CAN, CANADA, , QUEBEC - ATLANTIC, QUEBEC - ATLANTIC, PE, PE, PRINCE EDWARD ISLAND
4, CA, CAN, CANADA, , QUEBEC - ATLANTIC, QUEBEC - ATLANTIC, NS, NS, NOVA SCOTIA
4, CA, CAN, CANADA, , SASKATCHEWAN - MANITOBA, SASKATCHEWAN - MANITOBA, SK, SK, SASKATCHEWAN
4, CA, CAN, CANADA, , SASKATCHEWAN - MANITOBA, SASKATCHEWAN - MANITOBA, MB, MB, MANITOBA
4, CA, CAN, CANADA, , BRITISH COLUMBIA - ALBERTA, BRITISH COLUMBIA - ALBERTA, BC, BC, BRITISH COLUMBIA
4, CA, CAN, CANADA, , BRITISH COLUMBIA - ALBERTA, BRITISH COLUMBIA - ALBERTA, AB, AB, ALBERTA
4, CA, CAN, CANADA, , WESTERN PROVINCES, WESTERN PROVINCES, AB, AB, ALBERTA
4, CA, CAN, CANADA, , WESTERN PROVINCES, WESTERN PROVINCES, BC, BC, BRITISH COLUMBIA
4, CA, CAN, CANADA, , WESTERN PROVINCES, WESTERN PROVINCES, MB, MB, MANITOBA
4, CA, CAN, CANADA, , WESTERN PROVINCES, WESTERN PROVINCES, SK, SK, SASKATCHEWAN
4, CA, CAN, CANADA, , EASTERN PROVINCES, EASTERN PROVINCES, NB, NB, NEW BRUNSWICK
4, CA, CAN, CANADA, , EASTERN PROVINCES, EASTERN PROVINCES, NL, NL, NEWFOUNDLAND AND LABRADOR
4, CA, CAN, CANADA, , EASTERN PROVINCES, EASTERN PROVINCES, NS, NS, NOVA SCOTIA
4, CA, CAN, CANADA, , EASTERN PROVINCES, EASTERN PROVINCES, ON, ON, ONTARIO
