GEO_LEVEL, GEO_CODE2, GEO_CODE3, GEO, GEO_FORMAL, REGION_ABBR, REGION_CODE, REGION, REGION_FORMAL, REGION_ORIGINAL
5, AU, AUS, AUSTRALIA, COMMONWEALTH OF AUSTRALIA, , , ASHMORE AND CARTIER ISLANDS, ASHMORE AND CARTIER ISLANDS, ASHMORE AND CARTIER ISLANDS
5, AU, AUS, AUSTRALIA, COMMONWEALTH OF AUSTRALIA, , , AUSTRALIAN ANTARTIC TERRITORY, AUSTRALIAN ANTARTIC TERRITORY, AUSTRALIAN ANTARTIC TERRITORY
5, AU, AUS, AUSTRALIA, COMMONWEALTH OF AUSTRALIA, ACT, ACT, AUSTRALIAN CAPITAL TERRITORY, AUSTRALIAN CAPITAL TERRITORY, AUSTRALIAN CAPITAL TERRITORY
5, AU, AUS, AUSTRALIA, COMMONWEALTH OF AUSTRALIA, , , CHRISTMAS ISLAND, CHRISTMAS ISLAND, CHRISTMAS ISLAND
5, AU, AUS, AUSTRALIA, COMMONWEALTH OF AUSTRALIA, , , COCOS (KEELING) ISLANDS, COCOS (KEELING) ISLANDS, COCOS (KEELING) ISLANDS
5, AU, AUS, AUSTRALIA, COMMONWEALTH OF AUSTRALIA, , , CORAL SEA ISLANDS, CORAL SEA ISLANDS, CORAL SEA ISLANDS
5, AU, AUS, AUSTRALIA, COMMONWEALTH OF AUSTRALIA, , , HEARD ISLAND AND MCDONALD ISLANDS, HEARD ISLAND AND MCDONALD ISLANDS, HEARD ISLAND AND MCDONALD ISLANDS
5, AU, AUS, AUSTRALIA, COMMONWEALTH OF AUSTRALIA, , JBT, JERVIS BAY TERRITORY, JERVIS BAY TERRITORY, JERVIS BAY TERRITORY
5, AU, AUS, AUSTRALIA, COMMONWEALTH OF AUSTRALIA, NSW, NSW, NEW SOUTH WALES, NEW SOUTH WALES, NEW SOUTH WALES
5, AU, AUS, AUSTRALIA, COMMONWEALTH OF AUSTRALIA, , , NORFOLK ISLAND, NORFOLK ISLAND, NORFOLK ISLAND
5, AU, AUS, AUSTRALIA, COMMONWEALTH OF AUSTRALIA, NT, NT, NORTHERN TERRITORY, NORTHERN TERRITORY, NORTHERN TERRITORY
5, AU, AUS, AUSTRALIA, COMMONWEALTH OF AUSTRALIA, QLD, QLD, QUEENSLAND, QUEENSLAND, QUEENSLAND
5, AU, AUS, AUSTRALIA, COMMONWEALTH OF AUSTRALIA, SA, SA, SOUTH AUSTRALIA, SOUTH AUSTRALIA, SOUTH AUSTRALIA
5, AU, AUS, AUSTRALIA, COMMONWEALTH OF AUSTRALIA, TAS, TAS, TASMANIA, TASMANIA, TASMANIA
5, AU, AUS, AUSTRALIA, COMMONWEALTH OF AUSTRALIA, VIC, VIC, VICTORIA, VICTORIA, VICTORIA
5, AU, AUS, AUSTRALIA, COMMONWEALTH OF AUSTRALIA, WA, WA, WESTERN AUSTRALIA, WESTERN AUSTRALIA, WESTERN AUSTRALIA
5, AU, AUS, AUSTRALIA, COMMONWEALTH OF AUSTRALIA, WA, WA, WESTERN AUSTRALIA, WESTERN AUSTRALIA, WESTERN AUSTRALIA
5, AU, AUS, AUSTRALIA, COMMONWEALTH OF AUSTRALIA, NSW, NSW, NEW SOUTH WALES, NEW SOUTH WALES, NEW SOUTH WALES
5, AU, AUS, AUSTRALIA, COMMONWEALTH OF AUSTRALIA, SA, SA, SOUTH AUSTRALIA, SOUTH AUSTRALIA, SOUTH AUSTRALIA (INCL NT)
5, AU, AUS, AUSTRALIA, COMMONWEALTH OF AUSTRALIA, QLD, QLD, QUEENSLAND, QUEENSLAND, QUEENSLAND
5, AU, AUS, AUSTRALIA, COMMONWEALTH OF AUSTRALIA, NSW, NSW, NEW SOUTH WALES, NEW SOUTH WALES, NEW SOUTH WALES (INCL ACT)
5, AU, AUS, AUSTRALIA, COMMONWEALTH OF AUSTRALIA, TAS, TAS, TASMANIA, TASMANIA, TASMANIA
5, AU, AUS, AUSTRALIA, COMMONWEALTH OF AUSTRALIA, VIC, VIC, VICTORIA, VICTORIA, VICTORIA
5, AU, AUS, AUSTRALIA, COMMONWEALTH OF AUSTRALIA, SA, SA, SOUTH AUSTRALIA, SOUTH AUSTRALIA, SOUTH AUSTRALIA
5, CA, CAN, CANADA, , ON, ON, ONTARIO, ONTARIO, ONTARIO
5, CA, CAN, CANADA, , QC, QC, QUEBEC, QUEBEC, QUEBEC
5, CA, CAN, CANADA, , NS, NS, NOVA SCOTIA, NOVA SCOTIA, NOVA SCOTIA
5, CA, CAN, CANADA, , NB, NB, NEW BRUNSWICK, NEW BRUNSWICK, NEW BRUNSWICK
5, CA, CAN, CANADA, , MB, MB, MANITOBA, MANITOBA, MANITOBA
5, CA, CAN, CANADA, , BC, BC, BRITISH COLUMBIA, BRITISH COLUMBIA, BRITISH COLUMBIA
5, CA, CAN, CANADA, , PE, PE, PRINCE EDWARD ISLAND, PRINCE EDWARD ISLAND, PRINCE EDWARD ISLAND
5, CA, CAN, CANADA, , SK, SK, SASKATCHEWAN, SASKATCHEWAN, SASKATCHEWAN
5, CA, CAN, CANADA, , AB, AB, ALBERTA, ALBERTA, ALBERTA
5, CA, CAN, CANADA, , NL, NL, NEWFOUNDLAND AND LABRADOR, NEWFOUNDLAND AND LABRADOR, NEWFOUNDLAND AND LABRADOR
5, CA, CAN, CANADA, , NL, NL, NEWFOUNDLAND AND LABRADOR, NEWFOUNDLAND AND LABRADOR, NEWFOUNDLAND AND LABRADOR
5, CA, CAN, CANADA, , PE, PE, PRINCE EDWARD ISLAND, PRINCE EDWARD ISLAND, PRINCE EDWARD ISLAND
5, CA, CAN, CANADA, , QC, QC, QUEBEC, QUEBEC, CANADA-QUEBEC
5, CA, CAN, CANADA, , NS, NS, NOVA SCOTIA, NOVA SCOTIA, NOVA SCOTIA
5, CA, CAN, CANADA, , SK, SK, SASKATCHEWAN, SASKATCHEWAN, SASKATCHEWAN
5, CA, CAN, CANADA, , QC, QC, QUEBEC, QUEBEC, QUEBEC
5, CA, CAN, CANADA, , BC, BC, BRITISH COLUMBIA, BRITISH COLUMBIA, BRITISH COLUMBIA
5, CA, CAN, CANADA, , AB, AB, ALBERTA, ALBERTA, ALBERTA
5, CA, CAN, CANADA, , ON, ON, ONTARIO, ONTARIO, CANADA-ONTARIO
5, CA, CAN, CANADA, , ON, ON, ONTARIO, ONTARIO, ONTARIO
5, CA, CAN, CANADA, , NB, NB, NEW BRUNSWICK, NEW BRUNSWICK, NEW BRUNSWICK
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, ALA., AL, ALABAMA, ALABAMA, ALABAMA
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, ALASKA, AK, ALASKA, ALASKA, ALASKA
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, ARIZ., AZ, ARIZONA, ARIZONA, ARIZONA
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, ARK., AR, ARKANSAS, ARKANSAS, ARKANSAS
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, CALIF., CA, CALIFORNIA, CALIFORNIA, CALIFORNIA
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, COLO., CO, COLORADO, COLORADO, COLORADO
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, CONN., CT, CONNECTICUT, CONNECTICUT, CONNECTICUT
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, DEL., DE, DELAWARE, DELAWARE, DELAWARE
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, FLA., FL, FLORIDA, FLORIDA, FLORIDA
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, GA., GA, GEORGIA, GEORGIA, GEORGIA
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, HAWAII, HI, HAWAII, HAWAII, HAWAII
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, IDAHO, ID, IDAHO, IDAHO, IDAHO
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, ILL., IL, ILLINOIS, ILLINOIS, ILLINOIS
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, IND., IN, INDIANA, INDIANA, INDIANA
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, IOWA, IA, IOWA, IOWA, IOWA
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, KANS., KS, KANSAS, KANSAS, KANSAS
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, KY., KY, KENTUCKY, KENTUCKY, KENTUCKY
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, LA., LA, LOUISIANA, LOUISIANA, LOUISIANA
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, MAINE, ME, MAINE, MAINE, MAINE
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, MD., MD, MARYLAND, MARYLAND, MARYLAND
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, MASS., MA, MASSACHUSETTS, MASSACHUSETTS, MASSACHUSETTS
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, MICH., MI, MICHIGAN, MICHIGAN, MICHIGAN
