hs_code,type,datas_code,datas_desc,type_pure_string
0401100000,MLK&CRM<1% FAT,0401100000,Milk not concentrated nor sweetened < 1% fat,MLKCRM<1%FAT
0401200000,MLK&CRM<6% FAT,0401200000,Milk not concentrated nor sweetened 1-6% fat,MLKCRM<6%FAT
0401300000,MLK&CRM>6% FAT,0401300000,Milk and cream not concentrated nor sweetened < 6% fa,MLKCRM>6%FAT
0402100000,NFDM<1.5% FAT,0402100000,Milk powder < 1.5% fat,NFDM<15%FAT
0402210000,NFDM >I.5% FAT,0402210000,Milk and cream powder unsweetened < 1.5% fat,NFDM>I5%FAT
0402290000,MLK&CRM>1.5% FT,0402290000,Milk and cream powder sweetened < 1.5% fat,MLKCRM>15%FT
0402910000,MLK&CRMCNTD NSW,0402910000,Milk and cream unsweetened- concentrated,MLKCRMCNTDNSW
0402990000,MLK&CRMCNTD SWT,0402990000,Milk and cream nes sweetened or concentrated,MLKCRMCNTDSWT
0403100000,YOGURT,0403100000,yoghurt- whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit or cocoa,YOGURT
0403900000,BUTTERMILK,0403900000,Buttermilk- curdled milk- cream- kephir- etc.,BUTTERMILK
0404102000,WHEY FLUID,0404102000,WHYCNC/SWFLUID,WHEYFLUID
0404104000,WHEY DRIED,0404104000,WHEY DRIED,WHEYDRIED
0404900000,NAT MK PRO NESOI,0404900000,Natural milk products nes,NATMKPRONESOI
0405005000,BUTTER,0405100000,BUTTER,BUTTER
0405008020,ANHYDROUS MLK FT,0405008020,ANHYDROUS MLK FT,ANHYDROUSMLKFT
0405008040,FATOILFR MILK,0405008040,FATOILFR MILK,FATOILFRMILK
0406100000,FRESH CHEESE,0406100000,Fresh cheese- unfermented whey cheese- curd,FRESHCHEESE
0406200000,CHEESE ALL KINDS,0406200000,GRATED OR POWDERED CHEESE- OF ALL KINDS,CHEESEALLKINDS
0406300000,CHEESEPROCESSED,0406300000,Cheese processed- not grated or powdered,CHEESEPROCESSED
0406400000,CHEESEBLUE-VND,0406400000,Cheese- blue-veined,CHEESEBLUEVND
0406901000,CHEESE CHEDDAR,0406901000,CHEESE CHEDDAR,CHEESECHEDDAR
0406906500,CHEESE COLBY,0406906500,CHCOLBYNES,CHEESECOLBY
0406909000,CHEESEINC MIXT,0406909550,C/SBIMXSW-EQT,CHEESEINCMIXT
0407000020,BIRD EGGS/HATCH,0407190000,BIRD EGGS/HATCH,BIRDEGGSHATCH
0407000040,BRD EGG FRPRCK,0407000040,BRD EGG FRPRCK,BRDEGGFRPRCK
0408110000,EGG YOLKS DRIED,0408110000,EG YLKDRW/N SW,EGGYOLKSDRIED
0408190000,EGG YLKFRFZCK,0408190000,E YKF/F/C WME,EGGYLKFRFZCK
0408910000,BRD EGGS N/SHELL,0408910000,BD EGNISDW/NS,BRDEGGSNSHELL
0408990000,BRD EGG N/SHFR,0408990000,B EGNISFFCWE,BRDEGGNSHFR
0409000020,HONEY NATURAL,0409000020,HONEY NATURAL,HONEYNATURAL
0409000050,HONEYNAT N/PKG,0409000050,HONEYNAT N/PKG,HONEYNATNPKG
0401202000,MCN CN/S1-6 NQ,0401202000,MCN CN/S1-6 NQ,MCNCNS16NQ
0401204000,MCN CN/S1-6 OQ,0401204000,MCN CN/S1-6 OQ,MCNCNS16OQ
0401301000,M&CNC/S6-45N1,0401301000,M&CNC/S6-45N1,MCNCS645N1
0401303000,MCN CNC/SW6-45,0401303000,MCN CNC/SW6-45,MCNCNCSW645
0406100010,BLMDCH X STLTN,0406100010,BLMDCH X STLTN,BLMDCHXSTLTN
0406100040,ITLN CHS NOT LVS,0406100040,ITLN CHS NOT LVS,ITLNCHSNOTLVS
0406100050,CHS <.5% BTTRFT,0406100050,CHS <.5% BTTRFT,CHS<5%BTTRFT
0406100060,OTHER CHS & CRD,0406100060,OTHER CHS & CRD,OTHERCHSCRD
0406201000,CHROQFTGR/PW,0406201000,GLARUS HERB CHEESE- GRATED OR POWDERED,CHROQFTGRPW
0406203020,CHCHDCANG/P,0406203020,CHCHDCANG/P,CHCHDCANGP
0406203040,CHCHDG/PNES,0406203040,CHCHDG/PNES,CHCHDGPNES
0406204020,CHED&GDPRG/P,0406204020,CHED&GDPRG/P,CHEDGDPRGP
0406204040,CHE&G(XPR)G/P,0406204040,CHE&G(XPR)G/P,CHEGXPRGP
0406205020,CHPN-CWS MKG/P,0406205020,CHPN-CWS MKG/P,CHPNCWSMKGP
0406205040,CHIT-CW MK/XPGP,0406205040,CHIT-CW MK/XPGP,CHITCWMKXPGP
0406205060,CHIT-TPG/PNES,0406205060,CHIT-TPG/PNES,CHITTPGPNES
0406205500,CHSHP MKG/P,0406205500,CHSHP MKG/P,CHSHPMKGP
0406206015,MXC/P FR CDG/P,0406206015,MXC/P FR CDG/P,MXCPFRCDGP
0406206040,MXC/P ITCMG/P,0406206040,MXC/P ITCMG/P,MXCPITCMGP
0406206045,MXC/P S/E/GG/P,0406206045,MXC/P S/E/GG/P,MXCPSEGGP
0406206047,MXB/G/RETCG/P,0406206047,MXB/G/RETCG/P,MXBGRETCGP
0406206060,CHCNT CMGPNES,0406206060,CHCNT CMGPNES,CHCNTCMGPNES
0406206075,CHINC MXGPNES,0406206075,CHINC MXGPNES,CHINCMXGPNES
0406301040,CHPRBV(XRS)NGP,0406301040,CHPRBV(XRS)NGP,CHPRBVXRSNGP
0406302000,CHCHED(PR)NG/PW,0406302000,CHCHED(PR)NG/PW,CHCHEDPRNGPW
0406303000,CHCOLBYPRNG/P,0406303000,CHCOLBYPRNG/P,CHCOLBYPRNGP
0406304000,CHED&GD(PR)NG/P,0406304000,CHED&GD(PR)NG/P,CHEDGDPRNGP
0406305000,CHGR-PPRNTG/P,0406305000,CHGR-PPRNTG/P,CHGRPPRNTGP
0406305500,CHSHP MKPNGP,0406305500,CHSHP MKPNGP,CHSHPMKPNGP
0406306015,MXP CHFR CNGP,0406306015,MXP CHFR CNGP,MXPCHFRCNGP
