,keys,values,0,1,2,3
0,24:4:0:5,40665.55,24,4,0,5
1,24:5:0:9,748.8809,24,5,0,9
2,24:5:0:8,719.6185,24,5,0,8
3,24:5:0:1,162.9547,24,5,0,1
4,24:5:0:0,168.6475,24,5,0,0
5,24:5:0:3,160.1186,24,5,0,3
6,24:5:0:2,172.1203,24,5,0,2
7,24:5:0:5,195.3632,24,5,0,5
8,24:5:0:4,166.6142,24,5,0,4
9,24:5:0:7,792.5648,24,5,0,7
10,24:5:0:6,369.7259,24,5,0,6
11,30:16:0:9,1.034441,30,16,0,9
12,30:16:0:8,1.082219,30,16,0,8
13,30:16:0:1,1.393295,30,16,0,1
14,30:16:0:0,1.718747,30,16,0,0
15,30:16:0:3,1.355569,30,16,0,3
16,30:16:0:2,1.374204,30,16,0,2
17,30:16:0:5,1.319788,30,16,0,5
18,30:16:0:4,1.337406,30,16,0,4
19,30:16:0:7,0.6203056,30,16,0,7
20,30:16:0:6,1.129351,30,16,0,6
21,5:15:0:1,3.23006,5,15,0,1
22,5:15:0:0,5.541225,5,15,0,0
23,38:16:0:1,1.537938,38,16,0,1
24,38:16:0:0,1.584045,38,16,0,0
25,38:16:0:3,1.469868,38,16,0,3
26,38:16:0:2,1.498016,38,16,0,2
27,38:16:0:5,1.452738,38,16,0,5
28,38:16:0:4,1.456178,38,16,0,4
29,38:16:0:7,1.447332,38,16,0,7
30,38:16:0:6,1.450987,38,16,0,6
31,38:16:0:9,1.443155,38,16,0,9
32,38:16:0:8,1.445013,38,16,0,8
33,5:15:0:9,0.925155,5,15,0,9
34,5:15:0:8,1.112966,5,15,0,8
35,19:2:0:6,1903.2,19,2,0,6
36,19:2:0:7,1936.5,19,2,0,7
37,19:2:0:4,1884.9,19,2,0,4
38,19:2:0:5,1893.8,19,2,0,5
39,19:2:0:2,1863.7,19,2,0,2
40,19:2:0:3,1877.8,19,2,0,3
41,20:7:0:7,44.0,20,7,0,7
42,19:2:0:0,1810.8,19,2,0,0
43,20:7:0:6,44.0,20,7,0,6
