"country","city","time","temperatureHigh","temperatureLow","temperatureMax","temperatureMin","pressure","humidity","uvIndex","windSpeed","windGust","precipProbability","precipType","precipIntensity","precipIntensityMax"
"slovakia","zilina","2019-06-23 22:00:00","26.94","15.09","26.94","16.11","1021.44","0.67","6","11.39","32.88","0.03","rain","0.0014","0.0103"
"slovakia","bratislava","2019-06-23 22:00:00","29.24","18.9","29.24","17.18","1019.96","0.72","7","9.56","20.26","0.11","rain","0.0132","0.1017"
"slovakia","trnava","2019-06-23 22:00:00","29.4","17.85","29.4","17.01","1019.79","0.72","6","8.87","23.99","0.03","rain","0.0077","0.0718"
"slovakia","presov","2019-06-23 22:00:00","24.33","17.01","24.33","18.59","1020.71","0.79","4","13.54","40.47","0.09","rain","0.0117","0.0474"
"slovakia","kosice","2019-06-23 22:00:00","26.58","19.92","26.58","20.31","1019.99","0.69","5","18.12","47.39","0.04","rain","0.0012","0.0058"
"slovakia","trencin","2019-06-23 22:00:00","28.72","16.64","28.72","16.9","1020.52","0.66","5","10.95","31.25","0.01","rain","0.005","0.0477"
"slovakia","nitra","2019-06-23 22:00:00","29.31","17.47","29.31","16.84","1019.47","0.72","5","7.42","23.7","0.08","rain","0.0302","0.1984"
"slovakia","banska bystrica","2019-06-23 22:00:00","28.4","16.32","28.4","15.56","1020.41","0.7","4","6.14","16.01","0.17","rain","0.0614","0.2829"
"slovakia","zvolen","2019-06-23 22:00:00","28.7","16.59","28.7","15.62","1020.05","0.7","5","6.22","14.71","0.16","rain","0.0573","0.3881"
"china","hefei","2019-06-23 16:00:00","29.76","19.39","29.76","18.73","1008.5","0.66","8","12.98","36.56","0","none","0","0"
"china","beijing","2019-06-23 16:00:00","38.19","24.24","38.19","22.35","1006.72","0.36","6","9.32","40.54","0","none","0","0"
"china","chongqing","2019-06-23 16:00:00","23.94","20.84","24.14","21.54","1007.11","0.84","5","3.11","10.04","0.24","rain","0.0141","0.1464"
"china","fuzhou","2019-06-23 16:00:00","21.87","20.16","21.87","20.15","1009.9","0.88","5","3.01","8.02","0.99","rain","1.2814","2.3439"
"china","lanzhou","2019-06-23 16:00:00","27.71","18.04","27.71","17.06","1006.94","0.59","8","6.34","26.17","0.42","rain","0.1568","0.6143"
"china","guangzhou","2019-06-23 16:00:00","29.09","24.89","29.09","26.17","1005.59","0.84","5","7.1","24.6","0.94","rain","1.0739","3.0025"
"china","nanning","2019-06-23 16:00:00","26.97","24.65","26.97","24.19","1005.41","0.9","5","6.02","24.15","0.94","rain","0.8933","1.7596"
"china","guiyang","2019-06-23 16:00:00","23.26","18.67","23.26","17.28","1008.14","0.85","6","5.89","16.22","0.48","rain","0.0576","0.2737"
"china","haikou","2019-06-23 16:00:00","33.7","27.98","33.7","28.26","1004.66","0.76","5","12.41","44.09","0.2","rain","0.0671","0.5358"
"china","shijianzhuang","2019-06-23 16:00:00","39.02","25.59","39.02","22.83","1006.07","0.28","9","11.23","42.77","0.01","rain","0.0003","0.002"
"china","harbin","2019-06-23 16:00:00","31.32","21.16","31.32","18.01","1007.23","0.53","8","15.53","46.3","0.01","rain","0.0003","0.002"
"china","zhengzhou","2019-06-23 16:00:00","35.35","24.03","35.35","21.94","1007.48","0.39","8","9.36","30.31","0.01","rain","0.0003","0.002"
"china","wuhan","2019-06-23 16:00:00","31.18","22.62","31.18","20.91","1007.2","0.59","10","8.71","18.18","0.01","rain","0.0003","0.002"
"china","changsha","2019-06-23 16:00:00","28.13","20.9","28.13","21.22","1006.75","0.82","6","4.48","11.51","0.18","rain","0.0021","0.0091"
"china","hohhot","2019-06-23 16:00:00","28.01","16.25","28.01","16.9","1007.54","0.62","7","13.39","38.92","0.64","rain","0.3736","1.3296"
"china","nanjing","2019-06-23 16:00:00","29.56","19.56","29.56","18.61","1009.41","0.66","6","15.96","45.3","0","none","0","0"
"china","nanchang","2019-06-23 16:00:00","24.94","21.82","24.94","21.43","1007.03","0.81","5","7.54","14.87","0.59","rain","0.0668","0.2987"
"china","changchun","2019-06-23 16:00:00","30.8","19.47","30.8","16.46","1008.09","0.58","9","12.14","35.62","0","none","0","0"
"china","shenyeng","2019-06-23 16:00:00","33.33","20.06","33.33","17.61","1008.37","0.53","9","11.77","40.48","0","none","0","0"
"china","yinchuan","2019-06-23 16:00:00","27.64","16.52","27.64","17.93","1005.02","0.64","8","9.08","33.47","0.4","rain","0.1731","0.6335"
"china","xining","2019-06-23 16:00:00","23.14","12.59","23.14","12.36","1008.07","0.69","8","6.6","37.33","0.63","rain","0.2881","1.4525"
"china","xian","2019-06-23 16:00:00","28.58","21.07","28.58","22.23","1007.08","0.53","7","6.81","22.29","0.06","rain","0.0029","0.0187"
"china","jinan","2019-06-23 16:00:00","37.95","23.68","37.95","23.86","1007.61","0.31","9","10.37","43.03","0","none","0","0"
"china","shanghai","2019-06-23 16:00:00","26.68","21.25","26.68","19.7","1011.15","0.67","4","15.58","34.67","0","none","0","0"
"china","taiyuan","2019-06-23 16:00:00","32.12","20.33","32.12","19.87","1008.35","0.4","7","8.3","21.8","0.04","rain","0.0024","0.0247"
"china","chengdu","2019-06-23 16:00:00","23.3","19.1","23.3","19.84","1007.87","0.81","5","8","18.93","0.24","rain","0.0071","0.0325"
"china","tianjin","2019-06-23 16:00:00","38.07","25.25","38.07","23.44","1006.65","0.35","7","13.14","50.66","0","none","0","0"
"china","lhasa","2019-06-23 16:00:00","26.97","10.48","26.97","10.19","1004.66","0.39","13","5.68","15.13","0.11","rain","0.0365","0.22"
"china","urumqi","2019-06-23 18:00:00","28.56","15.69","28.56","16.55","1012.35","0.44","9","10.11","37.95","0.13","rain","0.0167","0.1365"
"china","kunming","2019-06-23 16:00:00","23.28","17.86","23.28","16.14","1005.48","0.84","6","6.74","13.91","0.9","rain","0.887","1.6889"
"china","hangzhou","2019-06-23 16:00:00","28.55","20.2","28.55","18.68","1009.8","0.71","7","12.73","26.66","0.01","rain","0.0004","0.002"
"china","xiamen","2019-06-23 16:00:00","25.57","22.97","25.57","23.06","1008.5","0.89","5","14.95","32.71","0.92","rain","0.2951","1.0428"
"china","shenzhen","2019-06-23 16:00:00","28.34","21.79","29.45","22.85","1005.85","0.94","5","11.78","31.86","0.79","rain","0.2556","0.7578"
"china","dalian","2019-06-23 16:00:00","25.63","19.96","25.63","19.67","1009.93","0.64","9","12.3","40.64","0","none","0","0"
"china","qingdao","2019-06-23 16:00:00","24.71","20.28","24.71","19.96","1011.19","0.76","7","15","36.88","0","none","0","0"
"china","ningbo","2019-06-23 16:00:00","25.85","20.45","25.85","18.08","1010.87","0.77","7","12.96","30.77","0.01","rain","0.0006","0.0028"
"ireland","sligo","2019-06-23 23:00:00","19.2","12.74","19.2","13.43","1016.42","0.87","4","10.43","38.23","0.93","rain","0.1915","1.0854"
"ireland","mullingar","2019-06-23 23:00:00","18.83","12.07","18.83","12.2","1015.87","0.94","4","9.76","33.18","0.93","rain","0.302","0.9927"
"ireland","drogheda","2019-06-23 23:00:00","17.36","13.03","17.36","12.9","1016.05","0.92","4","12.2","44.34","0.95","rain","0.2388","0.8718"
"ireland","dundalk","2019-06-23 23:00:00","18.71","12.91","18.71","13.69","1016.2","0.89","3","11.52","48.61","0.95","rain","0.3367","1.6314"
"ireland","muineachan","2019-06-23 23:00:00","18.34","12.68","18.34","12.13","1016.41","0.94","3","11.22","47.42","0.96","rain","0.4563","2.5296"
"ireland","port laoise","2019-06-23 23:00:00","19.68","12.77","19.68","12.29","1015.66","0.91","4","7.31","15.97","0.91","rain","0.3767","0.8964"
"ireland","longford","2019-06-23 23:00:00","19.41","12.01","19.41","12.84","1015.97","0.91","4","9.84","36.44","0.95","rain","0.3093","1.0735"
"ireland","shannon","2019-06-23 23:00:00","21.43","12.78","21.43","13.6","1015.44","0.85","4","6.66","26.25","0.86","rain","0.2803","0.9749"
"ireland","tralee","2019-06-23 23:00:00","19.95","13.35","19.95","13.36","1015.45","0.84","5","7.69","21.63","0.68","rain","0.1229","0.758"
"ireland","lifford","2019-06-23 23:00:00","18.62","11.97","18.62","12.3","1017.07","0.89","3","10.07","42.65","0.97","rain","0.3985","1.5916"
"ireland","wicklow","2019-06-23 23:00:00","15.96","13.16","15.96","12.92","1015.78","0.91","3","8.95","20.23","0.76","rain","0.1142","0.3617"
"ireland","kilkenny","2019-06-23 23:00:00","21.09","14.48","21.09","13.98","1015.56","0.84","4","6.97","17.02","0.87","rain","0.4111","1.2092"
"ireland","an cabhan","2019-06-23 23:00:00","18.04","12.3","18.04","12.85","1016.16","0.94","3","9.8","42.81","0.96","rain","0.5137","2.2828"
