"Week","Data for 2017","Data for 2018","Data for 2019"
"1","3.65","3.43","3.41"
"2","5.38","6.25","5.97"
"3","4.82","4.32","6.34"
"4","4.31","4.60","4.99"
"5","4.46","4.66","4.71"
"6","4.53","4.59","4.78"
"7","4.39","4.44","4.92"
"8","4.16","5.00","4.95"
"9","5.03","3.70","4.81"
"10","4.52","4.74","4.81"
"11","4.33","6.09","5.29"
"12","4.92","4.77","5.23"
"13","4.87","4.73","5.31"
"14","4.54","4.12","4.61"
"15","3.84","6.30","4.14"
"16","4.00","4.79","4.77"
"17","4.95","5.48","3.86"
"18","3.82","4.53","4.56"
"19","4.36","4.04","4.42"
"20","4.38","5.15","4.55"
"21","4.32","4.81","4.75"
"22","3.76","4.23","na"
"23","4.95","5.62","na"
"24","5.01","5.05","na"
"25","4.55","5.06","na"
"26","5.21","4.21","na"
"27","4.24","4.83","na"
"28","4.96","4.57","na"
"29","3.98","4.28","na"
"30","4.51","4.74","na"
"31","4.50","5.22","na"
"32","4.21","4.60","na"
"33","5.00","4.71","na"
"34","4.74","5.52","na"
"35","5.02","4.03","na"
"36","4.96","5.59","na"
"37","5.08","5.25","na"
"38","4.95","5.03","na"
"39","4.27","5.06","na"
"40","4.61","5.11","na"
"41","4.42","4.91","na"
"42","4.72","4.99","na"
"43","4.38","5.32","na"
"44","5.40","4.94","na"
"45","5.53","5.61","na"
"46","4.75","5.22","na"
"47","4.99","5.30","na"
"48","5.53","5.26","na"
"49","5.19","4.87","na"
"50","5.99","5.47","na"
"51","5.23","4.55","na"
"52","1.54","1.28","na"
"53","na","na","na"
