"Year","Footnotes","Annual GB Sow and Boar Slaughterings ('000 head)"
"1974","","435"
"1975","","318"
"1976","*","336"
"1977","","382"
"1978","","344"
"1979","","348"
"1980","","319"
"1981","*","322"
"1982","","338"
"1983","","435"
"1984","","315"
"1985","","316.1"
"1986","","331"
"1987","*","333"
"1988","","377"
"1989","","321"
"1990","","317"
"1991","","358"
"1992","*","362"
"1993","","346"
"1994","","387"
"1995","","355"
"1996","","324"
"1997","","356"
"1998","*","397"
"1999","","362.3"
"2000","","310.4"
"2001","","170.416"
"2002","","301.679"
"2003","","233"
"2004","*","231"
"2005","","201.764"
"2006","","196.407"
"2007","","206"
"2008","","231.2"
"2009","","196.8"
"2010 (est)","*","214.808"
"2011 (est)","","247.289"
"2012","","263.657"
"2013","","251.95499999999998"
"2014","","242.67"
"2015","","244.592"
"2016","**","256.67252857142853"
"2017","","236.19799999999995"
"* 53-week statistical year","",""
"** Calendar year data from 2016","",""
"Source: DEFRA","",""
