"-","Denmark","-","-","-","Germany","-","-","-","Netherlands","-","-","-","Ireland","-","-","-","Northern Ireland","-","-","-","Great Britain","-","-"
"Week ended","Weekly","Cumulative","% change on previous year","nan","Weekly","Cumulative","% change on previous year","nan","Weekly","Cumulative","% change on previous year","nan","Weekly","Cumulative","% change on previous year","nan","Weekly","Cumulative","% change on previous year","nan","Weekly","Cumulative","% change on previous year"
"2011-01-09 00:00:00","388,600","388,600","7.824639289678132","nan","938,903","938,903","-5.415735249525767","nan","286,000","286,000","-2.0547945205479436","nan","43,551","43,551","-2.7162865503607634","nan","26,199","26,199","-12.239975881820925","nan","133,965","133,965","-9.323696183382097"
"2011-01-16 00:00:00","377,300","765,900","3.4860154033238757","nan","936,101","1,875,004","-5.837178516258248","nan","285,000","571,000","-2.559726962457347","nan","52,263","95,814","2.2201359179798033","nan","32,706","58,905","-0.4495445403998559","nan","148,892","282,857","-4.720112799083168"
"2011-01-23 00:00:00","381,300","1,147,200","2.6944767702085812","nan","1,048,795","2,923,799","-1.9007861561891133","nan","279,000","850,000","-3.628117913832199","nan","53,013","148,827","5.506915545977222","nan","32,715","91,620","3.020217239750835","nan","148,616","431,473","-3.281864929077557"
"2011-01-30 00:00:00","362,100","1,509,300","2.3462399132026803","nan","923,174","3,846,973","-2.9132292568633176","nan","274,000","1,124,000","-3.35339638865004","nan","53,445","202,272","7.175329836274045","nan","32,715","124,335","5.046383129720681","nan","153,171","584,645","-2.5573186881404553"
"2011-02-06 00:00:00","362,040","1,871,340","3.7270661271548136","nan","974,487","4,821,460","-2.194619614751332","nan","283,000","1,407,000","-2.898550724637687","nan","53,606","255,878","7.911217574298135","nan","32,330","156,665","7.144078402943535","nan","157,613","742,259","-0.7944897532198354"
"2011-02-13 00:00:00","359,800","2,231,140","4.507939481942941","nan","1,016,758","5,838,218","-0.9064901449090854","nan","294,000","1,701,000","-0.816326530612244","nan","53,129","309,007","8.412096972248534","nan","30,181","186,846","6.860737775235918","nan","159,134","901,393","0.7489743035450829"
"2011-02-20 00:00:00","353,300","2,584,440","4.977456436085959","nan","1,075,911","6,914,129","1.0380833693307068","nan","299,000","2,000,000","-0.09990009990009696","nan","53,051","362,058","9.322970451292647","nan","29,142","215,988","6.928987286625215","nan","160,293","1,061,686","1.7583005756655012"
"2011-02-27 00:00:00","378,100","2,962,540","6.283274736313402","nan","1,061,017","7,975,146","2.002055863360937","nan","296,000","2,296,000","0.04357298474945992","nan","53,707","415,765","9.448709038834124","nan","31,632","247,620","6.807339607829604","nan","161,903","1,223,589","2.8667491388140434"
"2011-03-06 00:00:00","351,600","3,314,140","5.8222108691487335","nan","1,034,441","9,009,587","2.2409613315129633","nan","269,000","2,565,000","-0.46565774155995143","nan","53,054","468,819","9.313414600024245","nan","32,006","279,626","7.330086094062466","nan","158,956","1,382,546","3.2800670085317165"
"2011-03-13 00:00:00","357,100","3,671,240","5.480247090935222","nan","1,004,471","10,014,058","1.9270140036361312","nan","288,000","2,853,000","-0.20986358866737476","nan","54,253","523,072","9.742905457856537","nan","31,264","310,890","7.255596686664887","nan","159,957","1,542,503","3.883442742866009"
"2011-03-20 00:00:00","347,400","4,018,640","5.010321670281442","nan","1,035,877","11,049,935","1.9925115826792563","nan","290,000","3,143,000","0.19126554032516196","nan","43,361","566,433","9.39350398034739","nan","26,162","337,052","7.070995860772001","nan","162,205","1,704,709","4.38086200741634"
"2011-03-27 00:00:00","353,900","4,372,540","4.3715090466415205","nan","1,031,574","12,081,509","1.6412592452127228","nan","286,000","3,429,000","0.2631578947368354","nan","54,962","621,395","9.640656649422326","nan","32,407","369,459","6.890037148048279","nan","159,165","1,863,874","4.483804079781933"
"2011-04-03 00:00:00","360,700","4,733,240","7.4930166011854595","nan","1,010,898","13,092,407","2.606115893030264","nan","284,000","3,713,000","1.6703176341730455","nan","53,720","675,115","9.542886442036533","nan","31,981","401,440","8.3473679664896","nan","154,744","2,018,619","5.220084952067168"
"2011-04-10 00:00:00","365,200","5,098,440","8.704106434693614","nan","1,051,888","14,144,295","3.5861943808883865","nan","283,000","3,996,000","1.395584876934791","nan","53,873","728,988","10.886191475768925","nan","30,880","432,320","9.654640639584429","nan","148,844","2,167,463","4.954301667537365"
"2011-04-17 00:00:00","373,800","5,472,240","8.818008272351264","nan","1,071,298","15,215,593","3.574491049749696","nan","279,000","4,275,000","1.1355571327182474","nan","54,063","783,051","10.688755857428589","nan","32,742","465,062","9.271316226624336","nan","151,672","2,319,136","4.915596809319595"
"2011-04-24 00:00:00","219,600","5,691,840","5.758932718928264","nan","923,445","16,139,038","2.8090783406644846","nan","232,000","4,507,000","1.076474545862311","nan","53,972","837,023","10.49341809982944","nan","27,826","492,888","7.900883762371478","nan","148,463","2,467,599","4.807294624814304"
"2011-05-01 00:00:00","304,600","5,996,440","5.994732469552616","nan","898,141","17,037,179","2.2230106217334225","nan","277,000","4,784,000","1.9173412867490356","nan","43,746","880,769","9.105717846250656","nan","24,074","516,962","5.96958019022631","nan","146,346","2,613,946","4.522123405281647"
"2011-05-08 00:00:00","369,200","6,365,640","6.139993997398861","nan","980,127","18,017,306","1.9575148208521966","nan","271,000","5,055,000","2.5354969574036517","nan","44,510","925,279","8.883253509690633","nan","27,654","544,616","6.218660467184549","nan","147,628","2,761,574","4.339546279589925"
"2011-05-15 00:00:00","341,500","6,707,140","8.00895358948759","nan","925,686","18,942,992","2.083538676194266","nan","274,000","5,329,000","2.4807692307692264","nan","54,731","980,010","8.831472852377175","nan","33,523","578,139","6.301736089404386","nan","146,974","2,908,549","4.1543847004008825"
"2011-05-22 00:00:00","288,700","6,995,840","6.67642573955473","nan","964,353","19,907,345","1.5221583174591444","nan","271,000","5,600,000","3.1307550644567215","nan","53,095","1,033,105","8.76060255461428","nan","31,176","609,315","6.114356171826827","nan","150,102","3,058,651","4.187889171204205"
"2011-05-29 00:00:00","357,300","7,353,140","7.681515976920593","nan","1,001,276","20,908,621","1.8602536170935053","nan","233,000","5,833,000","2.3512896999473583","nan","53,730","1,086,835","8.733299851331907","nan","30,605","639,920","5.708475741001678","nan","145,853","3,204,505","4.126152133289423"
"2011-06-05 00:00:00","228,100","7,581,240","5.906906571300837","nan","874,055","21,782,676","1.2758350673178285","nan","285,000","6,118,000","2.754450789385274","nan","53,723","1,140,558","8.634917611201075","nan","26,481","666,401","5.6419434664265395","nan","146,761","3,351,266","3.9962045271813054"
"2011-06-12 00:00:00","354,200","7,935,440","6.22652370052073","nan","1,014,287","22,796,963","1.263015752272338","nan","237,000","6,355,000","2.3514253502979585","nan","44,244","1,184,802","8.660147802497136","nan","31,429","697,830","5.696425893753769","nan","151,518","3,502,785","3.956290450604172"
"2011-06-19 00:00:00","286,700","8,222,140","5.456667564482416","nan","902,493","23,699,456","0.9619165039417084","nan","289,000","6,644,000","2.816465490560205","nan","52,364","1,237,166","8.708996856912648","nan","31,605","729,435","5.784207091581479","nan","154,240","3,657,025","4.2644705307144335"
"2011-06-26 00:00:00","344,600","8,566,740","5.464058402787188","nan","973,085","24,672,541","1.015744427582007","nan","281,000","6,925,000","3.0966205151108994","nan","53,737","1,290,903","8.791447726037333","nan","31,933","761,368","5.7114929633784755","nan","148,871","3,805,897","4.340882551865732"
"2011-07-03 00:00:00","353,400","8,920,140","5.621284959859807","nan","985,547","25,658,088","1.032748981101733","nan","267,000","7,192,000","3.2739804709936777","nan","52,718","1,343,621","8.743448463403666","nan","32,227","793,595","5.775433713999334","nan","157,616","3,963,514","4.57574078441958"
"2011-07-10 00:00:00","337,000","9,257,140","5.498079706428712","nan","919,168","26,577,256","0.8827583358714861","nan","262,000","7,454,000","3.556543484301187","nan","50,085","1,393,706","8.588818913711322","nan","32,002","825,597","5.704152769686772","nan","155,611","4,119,125","4.732908515604819"
"2011-07-17 00:00:00","346,300","9,603,440","5.499846201168879","nan","961,169","27,538,425","1.0091738374505184","nan","262,000","7,716,000","3.9752054979113325","nan","52,687","1,446,393","8.495369571642257","nan","24,408","850,005","5.607869106649659","nan","159,484","4,278,609","4.994792680915509"
"2011-07-24 00:00:00","337,500","9,940,940","5.382478904295468","nan","971,902","28,510,327","1.336305214768302","nan","258,000","7,974,000","4.262552301255226","nan","53,604","1,499,997","8.511751122737166","nan","32,191","882,196","5.658922063316595","nan","152,325","4,430,935","5.062625360079551"
"2011-07-31 00:00:00","342,600","10,283,540","5.449492929727967","nan","993,969","29,504,296","1.599826527199255","nan","263,000","8,237,000","4.35829215760802","nan","54,942","1,554,939","8.590509724993353","nan","32,132","914,328","5.801610986460176","nan","158,389","4,589,324","5.2416361090217976"
"2011-08-07 00:00:00","334,100","10,617,640","5.556781691471073","nan","986,147","30,490,443","1.672001618191942","nan","267,000","8,504,000","4.394794991406826","nan","44,693","1,599,632","8.551923507576632","nan","30,582","944,910","5.87606502418015","nan","157,268","4,746,593","5.345982136733298"
"2011-08-14 00:00:00","333,800","10,951,440","5.512317786363255","nan","1,011,950","31,502,393","1.704065845506932","nan","272,000","8,776,000","4.488629598761747","nan","55,222","1,654,854","8.56214304176632","nan","31,430","976,340","5.848476898158481","nan","161,517","4,908,110","5.537159323391933"
"2011-08-21 00:00:00","332,000","11,283,440","5.333594719989549","nan","1,028,244","32,530,637","1.7327535086479884","nan","284,000","9,060,000","4.618937644341798","nan","54,503","1,709,357","8.651188747892903","nan","31,219","1,007,559","5.644493282137631","nan","161,775","5,069,885","5.5720048391653165"
"2011-08-28 00:00:00","331,100","11,614,540","5.089938472674632","nan","1,025,669","33,556,306","1.683520232217873","nan","283,000","9,343,000","4.648297491039429","nan","55,974","1,765,331","8.682437132996213","nan","31,664","1,039,223","5.528442900952484","nan","155,184","5,225,070","5.358847044628746"
"2011-09-04 00:00:00","331,400","11,945,940","4.8551716873815","nan","1,008,767","34,565,073","1.5526997463053362","nan","282,000","9,625,000","4.642313546423125","nan","55,912","1,821,243","8.636427895257668","nan","26,644","1,065,867","5.400105611031009","nan","159,013","5,384,084","5.384202967893415"
"2011-09-11 00:00:00","329,200","12,275,140","4.663460718609841","nan","979,028","35,544,101","1.3531768359261491","nan","281,000","9,906,000","4.637160663356937","nan","55,598","1,876,841","8.764167486668455","nan","31,884","1,097,751","5.302381352070796","nan","171,231","5,555,315","5.4937549409153945"
"2011-09-18 00:00:00","335,900","12,611,040","4.456555951296281","nan","1,036,007","36,580,108","1.2567340857921039","nan","290,000","10,196,000","4.66023403818518","nan","56,138","1,932,979","8.809009686527574","nan","32,092","1,129,843","5.182493711447123","nan","165,409","5,720,725","5.658357360982819"
"2011-09-25 00:00:00","335,600","12,946,640","4.1781869095707975","nan","1,039,172","37,619,280","1.174550902261899","nan","290,000","10,486,000","4.671591135955282","nan","56,871","1,989,850","8.85036596172992","nan","32,253","1,162,096","5.107894018027864","nan","165,758","5,886,483","5.720238569069664"
"2011-10-02 00:00:00","343,300","13,289,940","3.968989094550409","nan","1,066,784","38,686,064","1.1867015271879637","nan","289,000","10,775,000","4.672624829998057","nan","55,095","2,044,945","8.780555790499506","nan","31,396","1,193,492","4.932705461988334","nan","167,143","6,053,627","5.7564472038129395"
"2011-10-09 00:00:00","329,900","13,619,840","3.711735859401159","nan","897,495","39,583,559","0.7779649620563589","nan","284,000","11,059,000","4.646101438304299","nan","57,633","2,102,578","8.995063912023383","nan","32,056","1,225,548","4.935859344362797","nan","172,889","6,226,516","5.86056505490771"
"2011-10-16 00:00:00","341,500","13,961,340","3.6038202097108183","nan","1,047,396","40,630,955","0.7891433270535373","nan","283,000","11,342,000","4.6020474038550105","nan","55,575","2,158,153","8.96697242240441","nan","31,949","1,257,497","4.79552115791202","nan","161,386","6,387,903","5.8153326177148585"
"2011-10-23 00:00:00","337,700","14,299,040","3.4820052251065476","nan","1,029,098","41,660,053","0.7773367491469116","nan","278,000","11,620,000","4.534005037783388","nan","55,984","2,214,137","9.017782979408537","nan","31,385","1,288,882","4.6872334860872655","nan","171,874","6,559,777","5.851658803751292"
"2011-10-30 00:00:00","331,700","14,630,740","3.329543127131984","nan","989,028","42,649,081","0.7014711042885153","nan","299,000","11,919,000","4.653613135481606","nan","58,265","2,272,402","9.570801461199906","nan","31,245","1,320,127","4.580170813690131","nan","166,836","6,726,614","5.88458630930468"
"2011-11-06 00:00:00","349,400","14,980,140","3.219480600017903","nan","977,223","43,626,304","0.6964477501692983","nan","294,000","12,213,000","4.679866289534587","nan","46,249","2,318,651","9.066743935865304","nan","32,004","1,352,131","4.412789018568546","nan","162,796","6,889,411","5.696658954994788"
"2011-11-13 00:00:00","335,100","15,315,240","2.9949091789453774","nan","1,060,427","44,686,731","0.6905320609691614","nan","296,000","12,509,000","4.6865846514352825","nan","58,950","2,377,601","9.055111428719513","nan","32,523","1,384,654","4.257557173394645","nan","166,110","7,055,521","5.634504907556575"
"2011-11-20 00:00:00","372,400","15,687,640","2.9494297226706436","nan","1,045,935","45,732,666","0.741402928507199","nan","297,000","12,806,000","4.649832475279879","nan","58,893","2,436,494","9.055207628377971","nan","32,817","1,417,471","4.1374451384633915","nan","168,650","7,224,172","5.632050773556756"
"2011-11-27 00:00:00","358,300","16,045,940","2.9001455716090447","nan","1,021,168","46,753,834","0.6520772519168503","nan","299,000","13,105,000","4.655805781823986","nan","58,270","2,494,764","9.03936627930355","nan","32,878","1,450,349","4.024193791321721","nan","183,889","7,408,061","5.765610850854074"
"2011-12-04 00:00:00","348,400","16,394,340","2.7806755774005154","nan","1,035,609","47,789,443","0.6822752066091056","nan","302,000","13,407,000","4.676764522173642","nan","61,147","2,555,911","9.163800091741777","nan","32,806","1,483,155","3.9262936175043137","nan","178,841","7,586,903","5.900063417201949"
"2011-12-11 00:00:00","387,100","16,781,440","2.7884014651296667","nan","1,056,858","48,846,301","0.6957811725075942","nan","313,000","13,720,000","4.621015708403235","nan","61,118","2,617,029","9.17288170663231","nan","32,670","1,515,825","3.844043315364047","nan","188,749","7,775,652","6.169106066758985"
"2011-12-18 00:00:00","382,100","17,163,540","2.8021586396497185","nan","1,072,988","49,919,289","0.6294266768418311","nan","259,000","13,979,000","4.8058179637127125","nan","61,707","2,678,736","9.084511974823783","nan","32,777","1,548,602","3.6957725579529637","nan","177,969","7,953,621","6.026709246908538"
"2011-12-25 00:00:00","370,600","17,534,140","3.6866599253726946","nan","977,253","50,896,542","0.8612830878697082","nan","211,000","14,190,000","4.62287104622871","nan","47,657","2,726,393","9.46204310400205","nan","28,457","1,577,059","4.122488889945259","nan","146,735","8,100,357","6.139452578205095"
"2012-01-01 00:00:00","270,700","17,804,840","3.5773332014729533","nan","763,958","51,660,500","0.8628867256705632","nan","291,000","14,481,000","4.5937161430119176","nan","32,164","2,758,557","9.490574717388384","nan","19,551","1,596,610","3.8412434335426013","nan","115,876","8,216,234","6.017519067317849"
"2012-01-08 00:00:00","344,800","344,800","-11.271230056613476","nan","967,909","967,909","3.0893500180529685","nan","284,000","284,000","-0.6993006993006929","nan","46,114","46,114","5.885054304149165","nan","25,530","25,530","-2.553532577579304","nan","143,254","143,254","6.933858111682412"
"2012-01-15 00:00:00","347,700","692,500","-9.583496540018274","nan","979,031","1,946,940","3.8365784819659012","nan","270,000","554,000","-2.9772329246935243","nan","57,244","103,358","7.873588410879421","nan","31,425","56,955","-3.3104150751209573","nan","157,226","300,481","6.230639767031761"
"2012-01-22 00:00:00","353,000","1,045,500","-8.86506276150628","nan","939,045","2,885,985","-1.293317358682998","nan","278,000","832,000","-2.117647058823522","nan","56,421","159,779","7.35887977315943","nan","31,336","88,291","-3.6334861383977284","nan","163,306","463,787","7.489161454879849"
"2012-01-29 00:00:00","342,700","1,388,200","-8.023587093354536","nan","946,460","3,832,445","-0.37764756862083004","nan","285,000","1,117,000","-0.6227758007117359","nan","57,778","217,557","7.556656383483613","nan","32,514","120,805","-2.8391040334579998","nan","158,668","622,456","6.467236778273119"
"2012-02-05 00:00:00","321,100","1,709,300","-8.659035771158628","nan","944,143","4,776,588","-0.9306724519129119","nan","290,000","1,407,000","0","nan","55,436","272,993","6.688734475023253","nan","34,244","155,049","-1.0315003351099534","nan","162,359","784,816","5.733443447637555"
"2012-02-12 00:00:00","326,200","2,035,500","-8.768611561802487","nan","918,528","5,695,116","-2.4511246411148164","nan","298,000","1,705,000","0.23515579071133175","nan","57,627","330,620","6.994339934046806","nan","32,266","187,315","0.2510088522098357","nan","160,065","944,881","4.824603101071517"
"2012-02-19 00:00:00","317,600","2,353,100","-8.951262168980506","nan","950,291","6,645,407","-3.8865632966928985","nan","276,000","1,981,000","-0.9499999999999886","nan","56,331","386,951","6.875417750747118","nan","27,892","215,207","-0.36159416263866717","nan","159,218","1,104,100","3.994957965729597"
"2012-02-26 00:00:00","334,400","2,687,500","-9.283925280333776","nan","986,355","7,631,762","-4.305676660966469","nan","300,000","2,281,000","-0.6533101045296092","nan","54,826","441,777","6.256418890478983","nan","32,530","247,737","0.047249818269932575","nan","159,588","1,263,689","3.277171935796929"
"2012-03-04 00:00:00","333,900","3,021,400","-8.833060763878407","nan","1,004,148","8,635,910","-4.147548605724111","nan","297,000","2,578,000","0.5068226120857702","nan","55,779","497,556","6.12965771438445","nan","31,721","279,458","-0.06008025004827289","nan","165,411","1,429,101","3.367338229614063"
"2012-03-11 00:00:00","345,500","3,366,900","-8.289842124186919","nan","997,703","9,633,613","-3.7991092122693857","nan","302,000","2,880,000","0.9463722397476317","nan","55,547","553,103","5.741274623761171","nan","32,845","312,303","0.4545015922030444","nan","167,692","1,596,793","3.5195787903106606"
"2012-03-18 00:00:00","349,000","3,715,900","-7.533394382179054","nan","1,009,092","10,642,705","-3.685361045110227","nan","291,000","3,171,000","0.8908685968819725","nan","54,151","607,254","7.206677577047941","nan","32,224","344,527","2.217758684119957","nan","161,084","1,757,877","3.118926191662837"
"2012-03-25 00:00:00","366,100","4,082,000","-6.64465047775434","nan","987,179","11,629,884","-3.7381505902946373","nan","284,000","3,455,000","0.7582385535141327","nan","43,578","650,832","4.737244425848289","nan","26,744","371,271","0.49044684254543824","nan","157,814","1,915,691","2.780092934001587"
"2012-04-01 00:00:00","374,900","4,456,900","-5.838284135180132","nan","996,924","12,626,808","-3.5562521085694954","nan","282,000","3,737,000","0.6463775922434678","nan","57,878","708,710","4.97618924183287","nan","32,682","403,953","0.6259964129135227","nan","159,920","2,075,612","2.823365875383118"
"2012-04-08 00:00:00","221,800","4,678,700","-8.232714320458811","nan","853,383","13,480,191","-4.695207502388783","nan","237,000","3,974,000","-0.5505505505505539","nan","56,616","765,326","4.984718541320305","nan","28,521","432,474","0.03562176165803521","nan","148,633","2,224,245","2.619740251679545"
"2012-04-15 00:00:00","313,900","4,992,600","-8.764966448839957","nan","902,634","14,382,825","-5.473122210879325","nan","277,000","4,251,000","-0.5614035087719316","nan","45,944","811,270","3.603724406200868","nan","25,207","457,681","-1.58710021459504","nan","155,411","2,379,657","2.6096439697945755"
"2012-04-22 00:00:00","354,500","5,347,100","-6.05674087816945","nan","1,004,378","15,387,203","-4.658487079589264","nan","286,000","4,537,000","0.6656312402928819","nan","56,917","868,187","3.7231951810165356","nan","32,880","490,561","-0.47211536900879025","nan","160,019","2,539,676","2.920963430025708"
"2012-04-29 00:00:00","343,000","5,690,100","-5.1086978273775685","nan","1,023,640","16,410,843","-3.6762893669192493","nan","237,000","4,774,000","-0.20903010033444502","nan","57,647","925,834","5.116551558921813","nan","33,073","523,634","1.2906171053191429","nan","159,441","2,699,118","3.2584029665536605"
"2012-05-06 00:00:00","354,600","6,044,700","-5.041755424434939","nan","885,252","17,296,095","-4.002879231778593","nan","284,000","5,058,000","0.059347181008902794","nan","57,012","982,846","6.221582895537452","nan","32,888","556,522","2.1861274733022924","nan","157,759","2,856,878","3.4510379040945622"
"2012-05-13 00:00:00","341,100","6,385,800","-4.791013755490411","nan","1,053,851","18,349,946","-3.130688119384729","nan","235,000","5,293,000","-0.6755488834678118","nan","46,512","1,029,358","5.035458821848749","nan","26,796","583,318","0.8958053340113707","nan","153,763","3,010,641","3.510080323460869"
"2012-05-20 00:00:00","217,600","6,603,400","-5.6096194309761245","nan","886,502","19,236,448","-3.370097820678751","nan","264,000","5,557,000","-0.7678571428571388","nan","55,911","1,085,269","5.049244752469505","nan","31,118","614,436","0.8404519829644812","nan","160,378","3,171,020","3.67380233692154"
"2012-05-27 00:00:00","351,000","6,954,400","-5.422717369722321","nan","1,017,326","20,253,774","-3.131947343633996","nan","233,000","5,790,000","-0.7371849819989791","nan","56,314","1,141,583","5.037379178992211","nan","32,302","646,738","1.0654456807100985","nan","158,663","3,329,684","3.9063322683601456"
"2012-06-03 00:00:00","284,700","7,239,100","-4.512982045153564","nan","913,326","21,167,100","-2.8259888729924683","nan","270,000","6,060,000","-0.9480222294867531","nan","57,051","1,198,634","5.091893616983967","nan","32,703","679,441","1.9567797767410298","nan","158,663","3,488,348","4.0904231146011085"
"2012-06-10 00:00:00","267,200","7,506,300","-5.4078916859052555","nan","941,704","22,108,804","-3.018643316655826","nan","264,000","6,324,000","-0.48780487804877737","nan","45,968","1,244,602","5.047256841227494","nan","27,007","706,448","1.2349712680738776","nan","154,743","3,643,091","4.005544200105746"
"2012-06-17 00:00:00","322,800","7,829,100","-4.7802640188564","nan","932,754","23,041,558","-2.7760046475328437","nan","277,000","6,601,000","-0.6472004816375687","nan","54,569","1,299,171","5.011857745848175","nan","30,830","737,278","1.075215749175726","nan","155,347","3,798,439","3.8668867746543896"
"2012-06-24 00:00:00","318,000","8,147,100","-4.898479468269144","nan","908,777","23,950,335","-2.9271650617583305","nan","275,000","6,876,000","-0.7075812274368332","nan","55,223","1,354,394","4.918340107661081","nan","31,284","768,562","0.944878166668417","nan","152,091","3,950,530","3.800235609213317"
