"-","Denmark","-","-","-","Germany","-","-","-","Ireland","-","-","-","Great Britain","-","-"
"Week ended","Weekly","Cumulative","% change on previous year","nan","Weekly","Cumulative","% change on previous year","nan","Weekly","Cumulative","% change on previous year","nan","Weekly","Cumulative","% change on previous year"
"2011-01-09 00:00:00","7,900","7,900","97.5","nan","21,701","21,701","-7.09392927476668","nan","1,854","1,854","7.105719237435011","nan","3,931","3,931","4.180544552062699"
"2011-01-16 00:00:00","7,200","15,100","25.83333333333333","nan","20,921","42,622","-4.5013555600367425","nan","1,697","3,551","-2.1493524386883394","nan","5,048","8,979","7.485844188783815"
"2011-01-23 00:00:00","7,300","22,400","16.66666666666667","nan","19,964","62,586","-5.469210204359058","nan","2,124","5,675","4.204921042967328","nan","4,466","13,445","1.4733471769620365"
"2011-01-30 00:00:00","7,700","30,100","18.97233201581028","nan","18,914","81,500","-3.937954526702896","nan","1,639","7,314","3.6858519988658855","nan","4,514","17,959","2.5543987883349786"
"2011-02-06 00:00:00","7,595","37,695","18.537735849056602","nan","22,751","104,251","-0.180009383467862","nan","1,686","9,000","7.193901858027644","nan","4,226","22,186","1.6851712115306583"
"2011-02-13 00:00:00","7,900","45,595","19.046997389033947","nan","17,635","121,886","-2.886645579201499","nan","1,855","10,855","7.934771800735803","nan","4,895","27,081","5.786489182542141"
"2011-02-20 00:00:00","7,100","52,695","17.360801781737194","nan","24,471","146,357","0.9699829597588092","nan","1,661","12,516","9.94378074490514","nan","5,262","32,343","6.457747569450092"
"2011-02-27 00:00:00","7,300","59,995","16.495145631067956","nan","22,750","169,107","1.0384240809229794","nan","1,908","14,424","10.800430173605776","nan","5,004","37,347","8.391323779038984"
"2011-03-06 00:00:00","7,200","67,195","14.863247863247864","nan","23,492","192,599","2.3336007693656455","nan","1,484","15,908","9.235734395385563","nan","5,144","42,492","9.398427765205057"
"2011-03-13 00:00:00","7,300","74,495","13.73282442748092","nan","20,292","212,891","2.1525395264029044","nan","1,678","17,586","10.03629082718058","nan","5,044","47,536","10.475419212780707"
"2011-03-20 00:00:00","6,900","81,395","11.960110041265466","nan","22,417","235,308","2.509725677094437","nan","1,163","18,749","8.721368512612358","nan","5,079","52,616","10.595813277849203"
"2011-03-27 00:00:00","7,200","88,595","10.743750000000006","nan","20,925","256,233","2.113338381221851","nan","1,830","20,579","9.954050010686032","nan","5,202","57,818","12.202351354222671"
"2011-04-03 00:00:00","7,100","95,695","14.467703349282289","nan","21,114","277,347","3.3604144150858986","nan","1,826","22,405","11.141425665955666","nan","4,819","62,637","14.297930254050797"
"2011-04-10 00:00:00","7,000","102,695","13.726467331118485","nan","20,247","297,594","3.3290973104727044","nan","1,852","24,257","12.613741875580303","nan","5,161","67,799","15.090169553831387"
"2011-04-17 00:00:00","7,100","109,795","11.580284552845526","nan","21,318","318,912","3.1990835722560433","nan","1,649","25,906","12.395331684671788","nan","4,734","72,533","13.904937492343194"
"2011-04-24 00:00:00","4,300","114,095","7.738432483474966","nan","17,743","336,655","2.1782941501405304","nan","1,527","27,433","11.588838268792713","nan","4,525","77,058","13.675340809776344"
"2011-05-01 00:00:00","6,700","120,795","7.852678571428569","nan","19,222","355,877","1.7788861655851207","nan","1,490","28,923","10.6338216731056","nan","4,214","81,273","13.608204833591017"
