source_desc,sector_desc,group_desc,commodity_desc,class_desc,prodn_practice_desc,util_practice_desc,statisticcat_desc,unit_desc,short_desc,domain_desc,domaincat_desc,agg_level_desc,state_ansi,state_fips_code,state_alpha,state_name,asd_code,asd_desc,county_ansi,county_code,county_name,region_desc,zip_5,watershed_code,watershed_desc,congr_district_code,country_code,country_name,location_desc,year,freq_desc,begin_code,end_code,reference_period_desc,week_ending,load_time,Value,CV (%)
SURVEY,ANIMALS & PRODUCTS,DAIRY,BUTTER,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,LB,"BUTTER - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,MONTHLY,1,1,JAN,,2019-04-03 15:00:32,"189,642,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,BUTTER,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,LB,"BUTTER - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,MONTHLY,2,2,FEB,,2019-05-02 15:03:03,"164,525,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,BUTTER,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,LB,"BUTTER - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,MONTHLY,3,3,MAR,,2019-06-04 15:00:39,"173,558,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,BUTTER,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,LB,"BUTTER - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,MONTHLY,4,4,APR,,2019-07-03 15:00:25,"164,674,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,BUTTER,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,LB,"BUTTER - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,MONTHLY,5,5,MAY,,2019-07-03 15:00:25,"162,967,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,BUTTERMILK,DRY,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,LB,"BUTTERMILK, DRY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,MONTHLY,1,1,JAN,,2019-04-03 15:00:32,"13,189,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,BUTTERMILK,DRY,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,LB,"BUTTERMILK, DRY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,MONTHLY,2,2,FEB,,2019-05-02 15:03:03,"9,470,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,BUTTERMILK,DRY,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,LB,"BUTTERMILK, DRY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,MONTHLY,3,3,MAR,,2019-06-04 15:00:39,"9,979,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,BUTTERMILK,DRY,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,LB,"BUTTERMILK, DRY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,MONTHLY,4,4,APR,,2019-07-03 15:00:25,"10,036,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,BUTTERMILK,DRY,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,LB,"BUTTERMILK, DRY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,MONTHLY,5,5,MAY,,2019-07-03 15:00:25,"9,915,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,CHEESE,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,LB,"CHEESE - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,MONTHLY,1,1,JAN,,2019-04-03 15:00:32,"1,098,353,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,CHEESE,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,LB,"CHEESE - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,MONTHLY,2,2,FEB,,2019-05-02 15:03:03,"991,346,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,CHEESE,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,LB,"CHEESE - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,MONTHLY,3,3,MAR,,2019-06-04 15:00:39,"1,120,525,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,CHEESE,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,LB,"CHEESE - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,MONTHLY,4,4,APR,,2019-07-03 15:00:25,"1,086,416,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,CHEESE,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,LB,"CHEESE - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,MONTHLY,5,5,MAY,,2019-07-03 15:00:25,"1,103,146,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,CHEESE,AMERICAN,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,LB,"CHEESE, AMERICAN - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,MONTHLY,1,1,JAN,,2019-04-03 15:00:32,"439,283,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,CHEESE,AMERICAN,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,LB,"CHEESE, AMERICAN - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,MONTHLY,2,2,FEB,,2019-05-02 15:03:03,"391,027,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,CHEESE,AMERICAN,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,LB,"CHEESE, AMERICAN - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,MONTHLY,3,3,MAR,,2019-06-04 15:00:39,"440,262,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,CHEESE,AMERICAN,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,LB,"CHEESE, AMERICAN - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,MONTHLY,4,4,APR,,2019-07-03 15:00:25,"431,588,000",
