source_desc,sector_desc,group_desc,commodity_desc,class_desc,prodn_practice_desc,util_practice_desc,statisticcat_desc,unit_desc,short_desc,domain_desc,domaincat_desc,agg_level_desc,state_ansi,state_fips_code,state_alpha,state_name,asd_code,asd_desc,county_ansi,county_code,county_name,region_desc,zip_5,watershed_code,watershed_desc,congr_district_code,country_code,country_name,location_desc,year,freq_desc,begin_code,end_code,reference_period_desc,week_ending,load_time,Value,CV (%)
SURVEY,ANIMALS & PRODUCTS,DAIRY,BUTTER,ALL CLASSES,ALL PRODUCTION PRACTICES,COLD STORAGE,STOCKS,LB,"BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,POINT IN TIME,1,1,END OF JAN,,2019-03-22 15:06:24,"211,168,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,BUTTER,ALL CLASSES,ALL PRODUCTION PRACTICES,COLD STORAGE,STOCKS,LB,"BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,POINT IN TIME,2,2,END OF FEB,,2019-04-22 15:00:26,"243,511,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,BUTTER,ALL CLASSES,ALL PRODUCTION PRACTICES,COLD STORAGE,STOCKS,LB,"BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,POINT IN TIME,3,3,END OF MAR,,2019-05-22 15:04:35,"269,697,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,BUTTER,ALL CLASSES,ALL PRODUCTION PRACTICES,COLD STORAGE,STOCKS,LB,"BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,POINT IN TIME,4,4,END OF APR,,2019-06-21 15:13:50,"290,836,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,BUTTER,ALL CLASSES,ALL PRODUCTION PRACTICES,COLD STORAGE,STOCKS,LB,"BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,POINT IN TIME,5,5,END OF MAY,,2019-06-21 15:13:50,"313,972,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,BUTTER,ALL CLASSES,ALL PRODUCTION PRACTICES,COLD STORAGE,STOCKS,LB,"BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2018,POINT IN TIME,1,1,END OF JAN,,2019-04-02 15:00:15,"226,694,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,BUTTER,ALL CLASSES,ALL PRODUCTION PRACTICES,COLD STORAGE,STOCKS,LB,"BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2018,POINT IN TIME,2,2,END OF FEB,,2019-04-02 15:00:15,"265,756,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,BUTTER,ALL CLASSES,ALL PRODUCTION PRACTICES,COLD STORAGE,STOCKS,LB,"BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2018,POINT IN TIME,3,3,END OF MAR,,2019-04-02 15:00:15,"273,955,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,BUTTER,ALL CLASSES,ALL PRODUCTION PRACTICES,COLD STORAGE,STOCKS,LB,"BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2018,POINT IN TIME,4,4,END OF APR,,2019-04-02 15:00:15,"307,325,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,BUTTER,ALL CLASSES,ALL PRODUCTION PRACTICES,COLD STORAGE,STOCKS,LB,"BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2018,POINT IN TIME,5,5,END OF MAY,,2019-04-02 15:00:15,"338,492,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,BUTTER,ALL CLASSES,ALL PRODUCTION PRACTICES,COLD STORAGE,STOCKS,LB,"BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2018,POINT IN TIME,6,6,END OF JUN,,2019-04-02 15:00:15,"336,625,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,BUTTER,ALL CLASSES,ALL PRODUCTION PRACTICES,COLD STORAGE,STOCKS,LB,"BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2018,POINT IN TIME,7,7,END OF JUL,,2019-04-02 15:00:15,"318,325,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,BUTTER,ALL CLASSES,ALL PRODUCTION PRACTICES,COLD STORAGE,STOCKS,LB,"BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2018,POINT IN TIME,8,8,END OF AUG,,2019-04-02 15:00:15,"290,851,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,BUTTER,ALL CLASSES,ALL PRODUCTION PRACTICES,COLD STORAGE,STOCKS,LB,"BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2018,POINT IN TIME,9,9,END OF SEP,,2019-04-02 15:00:15,"282,379,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,BUTTER,ALL CLASSES,ALL PRODUCTION PRACTICES,COLD STORAGE,STOCKS,LB,"BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2018,POINT IN TIME,10,10,END OF OCT,,2019-04-02 15:00:15,"231,223,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,BUTTER,ALL CLASSES,ALL PRODUCTION PRACTICES,COLD STORAGE,STOCKS,LB,"BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2018,POINT IN TIME,11,11,END OF NOV,,2019-04-02 15:00:15,"154,366,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,BUTTER,ALL CLASSES,ALL PRODUCTION PRACTICES,COLD STORAGE,STOCKS,LB,"BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2018,POINT IN TIME,12,12,END OF DEC,,2019-04-02 15:00:15,"179,333,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,BUTTER,ALL CLASSES,ALL PRODUCTION PRACTICES,COLD STORAGE,STOCKS,LB,"BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2017,POINT IN TIME,1,1,END OF JAN,,2018-02-22 15:00:31,"221,556,000",
SURVEY,ANIMALS & PRODUCTS,DAIRY,BUTTER,ALL CLASSES,ALL PRODUCTION PRACTICES,COLD STORAGE,STOCKS,LB,"BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2017,POINT IN TIME,2,2,END OF FEB,,2018-02-22 15:00:31,"269,857,000",
