source_desc,sector_desc,group_desc,commodity_desc,class_desc,prodn_practice_desc,util_practice_desc,statisticcat_desc,unit_desc,short_desc,domain_desc,domaincat_desc,agg_level_desc,state_ansi,state_fips_code,state_alpha,state_name,asd_code,asd_desc,county_ansi,county_code,county_name,region_desc,zip_5,watershed_code,watershed_desc,congr_district_code,country_code,country_name,location_desc,year,freq_desc,begin_code,end_code,reference_period_desc,week_ending,load_time,Value,CV (%)
SURVEY,ANIMALS & PRODUCTS,LIVESTOCK,PORK,ALL CLASSES,ALL PRODUCTION PRACTICES,"COLD STORAGE, FROZEN",STOCKS,LB,"PORK, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,POINT IN TIME,1,1,END OF JAN,,2019-03-22 15:06:24,"562,732,000",
SURVEY,ANIMALS & PRODUCTS,LIVESTOCK,PORK,ALL CLASSES,ALL PRODUCTION PRACTICES,"COLD STORAGE, FROZEN",STOCKS,LB,"PORK, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,POINT IN TIME,2,2,END OF FEB,,2019-04-22 15:00:26,"615,670,000",
SURVEY,ANIMALS & PRODUCTS,LIVESTOCK,PORK,ALL CLASSES,ALL PRODUCTION PRACTICES,"COLD STORAGE, FROZEN",STOCKS,LB,"PORK, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,POINT IN TIME,3,3,END OF MAR,,2019-05-22 15:04:35,"608,375,000",
SURVEY,ANIMALS & PRODUCTS,LIVESTOCK,PORK,ALL CLASSES,ALL PRODUCTION PRACTICES,"COLD STORAGE, FROZEN",STOCKS,LB,"PORK, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,POINT IN TIME,4,4,END OF APR,,2019-06-21 15:13:50,"621,456,000",
SURVEY,ANIMALS & PRODUCTS,LIVESTOCK,PORK,ALL CLASSES,ALL PRODUCTION PRACTICES,"COLD STORAGE, FROZEN",STOCKS,LB,"PORK, COLD STORAGE, FROZEN - STOCKS, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,POINT IN TIME,5,5,END OF MAY,,2019-06-21 15:13:50,"628,660,000",
SURVEY,ANIMALS & PRODUCTS,LIVESTOCK,PORK,ALL CLASSES,ALL PRODUCTION PRACTICES,"SLAUGHTER, COMMERCIAL",PRODUCTION,LB,"PORK, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,MONTHLY,1,1,JAN,,2019-03-21 15:07:58,"2,373,600,000",
SURVEY,ANIMALS & PRODUCTS,LIVESTOCK,PORK,ALL CLASSES,ALL PRODUCTION PRACTICES,"SLAUGHTER, COMMERCIAL",PRODUCTION,LB,"PORK, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,MONTHLY,2,2,FEB,,2019-04-25 15:09:48,"2,167,500,000",
SURVEY,ANIMALS & PRODUCTS,LIVESTOCK,PORK,ALL CLASSES,ALL PRODUCTION PRACTICES,"SLAUGHTER, COMMERCIAL",PRODUCTION,LB,"PORK, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,MONTHLY,3,3,MAR,,2019-05-23 15:07:23,"2,297,200,000",
SURVEY,ANIMALS & PRODUCTS,LIVESTOCK,PORK,ALL CLASSES,ALL PRODUCTION PRACTICES,"SLAUGHTER, COMMERCIAL",PRODUCTION,LB,"PORK, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,MONTHLY,4,4,APR,,2019-06-20 15:03:07,"2,268,800,000",
SURVEY,ANIMALS & PRODUCTS,LIVESTOCK,PORK,ALL CLASSES,ALL PRODUCTION PRACTICES,"SLAUGHTER, COMMERCIAL",PRODUCTION,LB,"PORK, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,MONTHLY,5,5,MAY,,2019-06-20 15:03:07,"2,218,900,000",
SURVEY,ANIMALS & PRODUCTS,LIVESTOCK,PORK,ALL CLASSES,ALL PRODUCTION PRACTICES,"SLAUGHTER, COMMERCIAL, FI",PRODUCTION,LB,"PORK, SLAUGHTER, COMMERCIAL, FI - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,MONTHLY,1,1,JAN,,2019-03-21 15:07:58,"2,362,700,000",
SURVEY,ANIMALS & PRODUCTS,LIVESTOCK,PORK,ALL CLASSES,ALL PRODUCTION PRACTICES,"SLAUGHTER, COMMERCIAL, FI",PRODUCTION,LB,"PORK, SLAUGHTER, COMMERCIAL, FI - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,MONTHLY,2,2,FEB,,2019-04-25 15:09:48,"2,157,300,000",
SURVEY,ANIMALS & PRODUCTS,LIVESTOCK,PORK,ALL CLASSES,ALL PRODUCTION PRACTICES,"SLAUGHTER, COMMERCIAL, FI",PRODUCTION,LB,"PORK, SLAUGHTER, COMMERCIAL, FI - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,MONTHLY,3,3,MAR,,2019-05-23 15:07:23,"2,286,400,000",
SURVEY,ANIMALS & PRODUCTS,LIVESTOCK,PORK,ALL CLASSES,ALL PRODUCTION PRACTICES,"SLAUGHTER, COMMERCIAL, FI",PRODUCTION,LB,"PORK, SLAUGHTER, COMMERCIAL, FI - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,MONTHLY,4,4,APR,,2019-06-20 15:03:07,"2,258,200,000",
SURVEY,ANIMALS & PRODUCTS,LIVESTOCK,PORK,ALL CLASSES,ALL PRODUCTION PRACTICES,"SLAUGHTER, COMMERCIAL, FI",PRODUCTION,LB,"PORK, SLAUGHTER, COMMERCIAL, FI - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,MONTHLY,5,5,MAY,,2019-06-20 15:03:07,"2,209,200,000",
SURVEY,ANIMALS & PRODUCTS,LIVESTOCK,PORK,ALL CLASSES,ALL PRODUCTION PRACTICES,"SLAUGHTER, COMMERCIAL, FI",PRODUCTION,LB,"PORK, SLAUGHTER, COMMERCIAL, FI - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,WEEKLY,1,1,WEEK #01,2019-01-05,2019-02-08 15:44:52,"484,900,000",
SURVEY,ANIMALS & PRODUCTS,LIVESTOCK,PORK,ALL CLASSES,ALL PRODUCTION PRACTICES,"SLAUGHTER, COMMERCIAL, FI",PRODUCTION,LB,"PORK, SLAUGHTER, COMMERCIAL, FI - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,WEEKLY,2,2,WEEK #02,2019-01-12,2019-02-12 14:10:44,"550,700,000",
SURVEY,ANIMALS & PRODUCTS,LIVESTOCK,PORK,ALL CLASSES,ALL PRODUCTION PRACTICES,"SLAUGHTER, COMMERCIAL, FI",PRODUCTION,LB,"PORK, SLAUGHTER, COMMERCIAL, FI - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,WEEKLY,3,3,WEEK #03,2019-01-19,2019-02-15 11:24:37,"534,500,000",
SURVEY,ANIMALS & PRODUCTS,LIVESTOCK,PORK,ALL CLASSES,ALL PRODUCTION PRACTICES,"SLAUGHTER, COMMERCIAL, FI",PRODUCTION,LB,"PORK, SLAUGHTER, COMMERCIAL, FI - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,WEEKLY,4,4,WEEK #04,2019-01-26,2019-02-19 13:32:10,"534,000,000",
SURVEY,ANIMALS & PRODUCTS,LIVESTOCK,PORK,ALL CLASSES,ALL PRODUCTION PRACTICES,"SLAUGHTER, COMMERCIAL, FI",PRODUCTION,LB,"PORK, SLAUGHTER, COMMERCIAL, FI - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,WEEKLY,5,5,WEEK #05,2019-02-02,2019-02-22 15:46:44,"508,200,000",
SURVEY,ANIMALS & PRODUCTS,LIVESTOCK,PORK,ALL CLASSES,ALL PRODUCTION PRACTICES,"SLAUGHTER, COMMERCIAL, FI",PRODUCTION,LB,"PORK, SLAUGHTER, COMMERCIAL, FI - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,WEEKLY,6,6,WEEK #06,2019-02-09,2019-02-26 14:35:52,"538,600,000",
SURVEY,ANIMALS & PRODUCTS,LIVESTOCK,PORK,ALL CLASSES,ALL PRODUCTION PRACTICES,"SLAUGHTER, COMMERCIAL, FI",PRODUCTION,LB,"PORK, SLAUGHTER, COMMERCIAL, FI - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,NATIONAL,,99,US,US TOTAL,,,,,,,,0,,,9000,UNITED STATES,US TOTAL,2019,WEEKLY,7,7,WEEK #07,2019-02-16,2019-03-01 10:31:27,"536,900,000",
