Cm_Code,Commodity,Cn_Code,Country,Year,Beginning Stocks,Sow Beginning Stocks,Dairy Cows Beg. Stocks,Beef Cows Beg. Stocks,Production,Imports,Total Supply,Exports,Sow Slaughter,Cow Slaughter,Calf Slaughter,Domestic Consumption,Total Slaughter,Loss And Residual,Ending Stocks,Total Distribution,Total Use,Unit Description
11000,"Animal Numbers, Cattle",AR,Argentina,2000,50332,0,2470,18900,14900,43,65275,8,0,4300,1780,0,13200,900,51167,65275,0,
11000,"Animal Numbers, Cattle",AR,Argentina,2001,51167,0,2450,19300,15000,2,66169,0,0,3800,1730,0,12300,1500,52369,66169,0,
11000,"Animal Numbers, Cattle",AR,Argentina,2002,52369,0,2150,19200,14000,0,66369,0,0,4200,1600,0,12300,1000,53069,66369,0,
11000,"Animal Numbers, Cattle",AR,Argentina,2003,53069,0,2000,19600,14800,0,67869,1,0,4400,1900,0,13000,900,53968,67869,0,
11000,"Animal Numbers, Cattle",AR,Argentina,2004,53968,0,2000,20500,15400,0,69368,1,0,5200,2400,0,14800,800,53767,69368,0,
11000,"Animal Numbers, Cattle",AR,Argentina,2005,53767,0,2100,21000,15800,0,69567,1,0,4800,1900,0,14600,700,54266,69567,0,
11000,"Animal Numbers, Cattle",AR,Argentina,2006,54266,0,2200,21000,15800,0,70066,2,0,4600,1300,0,13700,700,55664,70066,0,
11000,"Animal Numbers, Cattle",AR,Argentina,2007,55664,0,2150,21250,15900,0,71564,2,0,5200,2700,0,15200,700,55662,71564,0,
11000,"Animal Numbers, Cattle",AR,Argentina,2008,55662,0,2150,20800,14900,0,70562,2,0,5500,2500,0,14800,1500,54260,70562,0,
11000,"Animal Numbers, Cattle",AR,Argentina,2009,54260,0,2100,18900,12000,0,66260,3,0,5600,2900,0,16100,1100,49057,66260,0,
11000,"Animal Numbers, Cattle",AR,Argentina,2010,49057,0,2100,18300,11600,0,60657,1,0,3400,2800,0,11900,600,48156,60657,0,
11000,"Animal Numbers, Cattle",AR,Argentina,2011,48156,0,2100,19100,13100,1,61257,0,0,2570,3040,0,11060,600,49597,61257,0,
11000,"Animal Numbers, Cattle",AR,Argentina,2012,49597,0,2100,20000,13700,0,63297,2,0,2900,3500,0,11600,600,51095,63297,0,
11000,"Animal Numbers, Cattle",AR,Argentina,2013,51095,0,2100,20900,14000,0,65095,0,0,3400,3900,0,12900,650,51545,65095,0,
11000,"Animal Numbers, Cattle",AR,Argentina,2014,51545,0,2100,21300,13300,0,64845,0,0,3500,3900,0,12400,900,51545,64845,0,
11000,"Animal Numbers, Cattle",AR,Argentina,2015,51545,0,2000,21300,14200,0,65745,0,0,3170,3900,0,12430,750,52565,65745,0,
11000,"Animal Numbers, Cattle",AR,Argentina,2016,52565,0,1900,21600,14000,0,66565,0,0,3100,3300,0,11800,1250,53515,66565,0,
11000,"Animal Numbers, Cattle",AR,Argentina,2017,53515,0,1850,21800,14200,0,67715,0,0,3440,3440,0,12600,1400,53715,67715,0,
11000,"Animal Numbers, Cattle",AR,Argentina,2018,53715,0,1850,22000,14700,0,68415,0,0,4150,3200,0,13400,1200,53815,68415,0,
11000,"Animal Numbers, Cattle",AS,Australia,2000,27588,0,2171,12670,9720,0,37308,896,0,3627,1080,0,8642,50,27720,37308,0,
11000,"Animal Numbers, Cattle",AS,Australia,2001,27720,0,2176,12920,9658,0,37378,822,0,3693,956,0,8636,50,27870,37378,0,
11000,"Animal Numbers, Cattle",AS,Australia,2002,27870,0,2123,12652,10072,0,37942,972,0,3925,1081,0,9050,50,27870,37942,0,
11000,"Animal Numbers, Cattle",AS,Australia,2003,27870,0,2050,12000,8524,0,36394,774,0,3952,1100,0,8906,50,26664,36394,0,
11000,"Animal Numbers, Cattle",AS,Australia,2004,26664,0,2050,12350,10292,0,36956,638,0,3686,910,0,8803,50,27465,36956,0,
11000,"Animal Numbers, Cattle",AS,Australia,2005,27465,0,2041,12570,9808,0,37273,573,0,3349,823,0,8467,50,28183,37273,0,
11000,"Animal Numbers, Cattle",AS,Australia,2006,28183,0,1881,13456,9748,0,37931,634,0,3588,869,0,8854,50,28393,37931,0,
11000,"Animal Numbers, Cattle",AS,Australia,2007,28393,0,1796,12750,9313,0,37706,719,0,3804,901,0,8901,49,28037,37706,0,
11000,"Animal Numbers, Cattle",AS,Australia,2008,28037,0,1617,12700,8956,0,36993,869,0,3787,798,0,8651,152,27321,36993,0,
11000,"Animal Numbers, Cattle",AS,Australia,2009,27321,0,1676,12903,10025,0,37346,954,0,3669,828,0,8412,74,27906,37346,0,
11000,"Animal Numbers, Cattle",AS,Australia,2010,27906,0,1596,12945,8842,0,36748,875,0,3539,801,0,8272,51,27550,36748,0,
11000,"Animal Numbers, Cattle",AS,Australia,2011,27550,0,1589,12883,9614,0,37164,695,0,3125,682,0,7942,21,28506,37164,0,
11000,"Animal Numbers, Cattle",AS,Australia,2012,28506,0,1700,13633,8539,0,37045,620,0,3207,625,0,7977,30,28418,37045,0,
11000,"Animal Numbers, Cattle",AS,Australia,2013,28418,0,1688,13430,10783,0,39201,851,0,3949,690,0,9032,27,29291,39201,0,
11000,"Animal Numbers, Cattle",AS,Australia,2014,29291,0,1647,13321,11063,0,40354,1297,0,4671,688,0,9914,41,29102,40354,0,
11000,"Animal Numbers, Cattle",AS,Australia,2015,29102,0,1689,12532,9394,0,38496,1336,0,4450,667,0,9674,73,27413,38496,0,
11000,"Animal Numbers, Cattle",AS,Australia,2016,27413,0,1562,11452,6600,0,34013,1154,0,3428,542,0,7830,58,24971,34013,0,
11000,"Animal Numbers, Cattle",AS,Australia,2017,24971,0,1520,12176,9700,0,34671,885,0,3255,413,0,7572,38,26176,34671,0,
11000,"Animal Numbers, Cattle",AS,Australia,2018,26176,0,1561,11250,9100,0,35276,1151,0,3987,468,0,8064,61,26000,35276,0,
11000,"Animal Numbers, Cattle",BO,Belarus,2000,4326,0,1865,0,1343,0,5669,0,0,0,0,0,1091,357,4221,5669,0,
11000,"Animal Numbers, Cattle",BO,Belarus,2001,4221,0,1845,0,1365,0,5586,0,0,0,0,0,1148,353,4085,5586,0,
11000,"Animal Numbers, Cattle",BO,Belarus,2002,4085,0,1784,0,1338,0,5423,0,0,0,0,0,1109,309,4005,5423,0,
11000,"Animal Numbers, Cattle",BO,Belarus,2003,4005,0,1716,0,1304,0,5309,0,0,0,0,0,1002,383,3924,5309,0,
11000,"Animal Numbers, Cattle",BO,Belarus,2004,3924,0,1658,0,1326,0,5250,0,0,0,0,0,1040,247,3963,5250,0,
11000,"Animal Numbers, Cattle",BO,Belarus,2005,3963,0,1613,0,1307,3,5273,0,0,0,0,0,1170,123,3980,5273,0,
11000,"Animal Numbers, Cattle",BO,Belarus,2006,3980,0,1565,0,1330,2,5312,0,0,0,0,0,1260,63,3989,5312,0,
11000,"Animal Numbers, Cattle",BO,Belarus,2007,3989,0,1506,0,1310,2,5301,0,0,0,0,0,1240,54,4007,5301,0,
11000,"Animal Numbers, Cattle",BO,Belarus,2008,4007,0,1459,0,1313,1,5321,2,0,0,0,0,1150,38,4131,5321,0,
11000,"Animal Numbers, Cattle",BO,Belarus,2009,4131,0,1452,0,1357,0,5488,1,0,0,0,0,1285,51,4151,5488,0,
11000,"Animal Numbers, Cattle",BO,Belarus,2010,4151,0,1445,0,1351,1,5503,0,0,0,0,0,1250,102,4151,5503,0,
11000,"Animal Numbers, Cattle",BO,Belarus,2011,4151,0,1478,0,1380,1,5532,1,0,0,0,0,1175,109,4247,5532,0,
11000,"Animal Numbers, Cattle",BO,Belarus,2012,4247,0,1477,0,1379,2,5628,1,0,0,0,0,1175,85,4367,5628,0,
11000,"Animal Numbers, Cattle",BO,Belarus,2013,4367,0,1519,0,1395,1,5763,0,0,0,0,0,1279,162,4322,5763,0,
11000,"Animal Numbers, Cattle",BO,Belarus,2014,4322,0,1525,0,1385,1,5708,1,0,0,0,0,1200,143,4364,5708,0,
11000,"Animal Numbers, Cattle",BO,Belarus,2015,4364,0,1533,0,1426,2,5792,7,0,0,0,0,1326,103,4356,5792,0,
