"","","","","","","January","January","February","February","March","March","April","April","May","May","June","June","July","July","August","August","September","September","October","October","November","November","December","December","Total","Total","","","","","",""
"Partner","","HS Code","Product","Year","UOM","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Period/Period %  Change (Value)","Period/Period %  Change (Qty)","Reporter Code","Partner Code","Product Code",""
"World Total","1","3501105000","CASEN,XMPC,NESOI","2015-2015","MT","27,643,745","3,111.7","37,886,068","4,229.3","35,697,564","4,256.8","39,827,201","4,480.0","39,835,022","4,587.4","29,102,389","3,678.6","35,044,092","4,467.2","35,683,155","4,787.8","25,437,517","3,611.8","19,429,965","2,793.6","25,549,457","3,749.9","35,837,807","5,154.3","386,973,982","48,908.5","40","37","US","R00","3501105000",""
"World Total","1","3501105000","CASEN,XMPC,NESOI","2016-2016","MT","34,298,570","5,060.7","16,152,775","2,381.8","25,553,599","4,049.8","19,269,049","3,102.4","20,324,997","3,309.9","28,981,685","4,825.7","23,149,267","3,774.7","18,705,494","3,004.5","20,394,659","3,033.4","18,891,596","2,981.6","23,865,366","3,798.2","28,835,840","4,624.7","278,422,897","43,947.4","21","22","US","R00","3501105000",""
"World Total","1","3501105000","CASEN,XMPC,NESOI","2017-2017","MT","28,636,216","4,830.6","22,865,618","3,612.8","16,493,595","2,856.5","16,598,345","2,441.8","20,179,034","2,919.2","32,662,215","4,833.2","25,300,506","3,409.8","28,445,521","3,630.0","14,324,364","1,956.3","27,600,294","3,731.8","23,762,239","3,529.4","27,716,960","4,410.7","284,584,907","42,162.1","17","25","US","R00","3501105000",""
"World Total","1","3501105000","CASEN,XMPC,NESOI","2018-2018","MT","21,595,993","3,505.1","14,991,354","2,208.2","21,427,953","3,303.5","19,158,979","3,395.9","22,567,304","3,608.5","15,234,762","2,276.6","27,549,096","4,406.1","15,720,701","2,416.8","9,842,264","1,342.5","10,879,512","1,932.2","23,435,246","4,174.7","27,364,586","4,767.6","229,767,750","37,337.7","17","14","US","R00","3501105000",""
"World Total","2","3501906000","CSNT/OC,NT-CA/GL","2015-2015","MT","13,995,794","1,668.1","14,128,186","1,520.9","14,794,843","1,650.0","19,606,009","2,046.1","23,021,612","2,628.2","17,959,451","2,301.5","16,654,166","2,279.8","17,869,826","2,513.3","8,781,199","1,276.3","14,013,776","2,000.6","13,224,543","1,895.2","19,340,432","2,847.4","193,389,837","24,627.4","46","50","US","R00","3501906000",""
"World Total","2","3501906000","CSNT/OC,NT-CA/GL","2016-2016","MT","14,739,101","2,151.7","9,507,030","1,362.7","14,203,071","2,104.4","10,282,664","1,520.5","11,283,537","1,797.2","11,744,130","1,934.1","12,081,775","1,954.4","13,999,122","2,455.1","12,893,324","2,132.8","12,884,984","1,987.0","17,119,956","2,565.0","16,640,266","2,480.5","157,378,960","24,445.4","-3","-3","US","R00","3501906000",""
"World Total","2","3501906000","CSNT/OC,NT-CA/GL","2017-2017","MT","14,213,586","2,013.0","12,792,555","1,876.7","18,567,041","2,654.9","15,937,092","2,121.1","14,951,454","2,205.9","13,267,956","1,861.0","15,533,352","2,271.5","12,658,844","1,848.5","16,242,198","2,400.6","10,982,315","1,537.0","10,547,191","1,543.6","14,431,495","2,087.8","170,125,079","24,421.5","37","35","US","R00","3501906000",""
"World Total","2","3501906000","CSNT/OC,NT-CA/GL","2018-2018","MT","10,924,575","1,605.7","10,818,413","1,609.5","13,995,643","2,071.1","9,361,686","1,523.6","10,021,015","1,532.7","6,867,327","1,120.0","12,263,385","2,170.4","11,455,832","1,901.0","7,438,923","1,305.2","13,148,532","2,032.8","9,437,853","1,577.3","7,761,294","1,305.1","123,494,478","19,754.4","-18","-17","US","R00","3501906000",""
"World Total","3","3501101000","MLK PROT CNCNTRT","2015-2015","MT","3,400,893","473.3","7,099,725","858.2","6,039,330","840.1","10,261,780","1,424.1","5,558,861","740.2","8,346,889","1,409.6","4,279,615","523.2","6,742,083","960.6","5,061,298","677.5","7,352,827","1,031.1","8,544,798","1,173.2","8,359,755","1,189.8","81,047,854","11,300.9","-2","1","US","R00","3501101000",""
"World Total","3","3501101000","MLK PROT CNCNTRT","2016-2016","MT","6,086,011","957.2","3,956,591","629.8","10,274,933","1,577.8","6,771,544","957.5","9,758,037","1,591.3","7,507,262","1,127.0","3,342,010","504.4","6,526,019","1,044.6","6,044,561","874.3","7,730,821","1,106.0","2,949,239","381.2","9,871,295","1,405.6","80,818,323","12,156.6","235","269","US","R00","3501101000",""
"World Total","3","3501101000","MLK PROT CNCNTRT","2017-2017","MT","5,946,337","921.6","4,659,132","664.9","3,641,885","738.0","3,253,389","782.3","2,731,919","365.8","4,849,092","677.0","4,601,100","644.1","2,698,415","561.9","2,631,499","281.7","3,757,994","612.2","4,101,129","711.7","6,173,052","1,102.7","49,044,943","8,063.9","51","55","US","R00","3501101000",""
"World Total","3","3501101000","MLK PROT CNCNTRT","2018-2018","MT","6,496,363","982.9","6,796,787","1,045.9","3,719,469","659.8","3,680,687","611.8","6,281,123","974.1","2,538,697","386.7","6,101,641","1,041.2","5,811,711","904.5","5,875,619","860.2","3,667,325","647.0","2,040,057","302.3","2,496,448","448.4","55,505,927","8,864.9","22","48","US","R00","3501101000",""
"World Total","4","3501902000","CASEIN GLUES","2015-2015","MT","0","0.0","0","0.0","0","0.0","0","0.0","4,358","1.6","0","0.0","12,301","1.4","3,919","0.6","0","0.0","0","0.0","0","0.0","0","0.0","20,578","3.6","","","US","R00","3501902000",""
"World Total","4","3501902000","CASEIN GLUES","2016-2016","MT","0","0.0","0","0.0","0","0.0","6,850","1.0","7,000","-","0","0.0","2,234","0.1","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","16,084","1.1","","","US","R00","3501902000",""
"World Total","4","3501902000","CASEIN GLUES","2017-2017","MT","0","0.0","0","0.0","0","0.0","0","0.0","28,137","29.6","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","28,137","29.6","","","US","R00","3501902000",""
"World Total","4","3501902000","CASEIN GLUES","2018-2018","MT","68,770","72.5","0","0.0","0","0.0","9,475","1.2","8,040","1.0","6,734","0.8","2,772","0.4","2,558","0.3","0","0.0","4,579","0.8","3,692","0.3","0","0.0","106,620","77.4","","","US","R00","3501902000",""
"New Zealand(*)","1","3501105000","CASEN,XMPC,NESOI","2015-2015","MT","16,859,165","1,891.0","21,096,421","2,346.4","25,046,803","2,865.8","28,721,992","3,093.4","30,069,667","3,404.0","15,881,912","2,064.8","15,711,931","1,994.2","23,847,446","3,235.7","14,202,497","2,203.8","7,832,944","1,207.4","15,991,031","2,375.7","21,105,569","3,319.2","236,367,378","30,001.3","32","40","US","NZ","3501105000",""
"New Zealand(*)","1","3501105000","CASEN,XMPC,NESOI","2016-2016","MT","23,283,036","3,508.0","12,433,669","1,798.0","17,692,112","2,697.0","10,567,089","1,635.2","12,133,041","2,185.8","19,045,570","3,591.8","13,275,307","2,360.8","8,864,306","1,523.3","2,270,733","386.4","6,443,395","1,019.8","16,165,111","2,557.5","18,389,267","2,934.5","160,562,636","26,197.9","14","15","US","NZ","3501105000",""
"New Zealand(*)","1","3501105000","CASEN,XMPC,NESOI","2017-2017","MT","21,452,615","3,684.2","15,080,944","2,403.1","8,585,853","1,607.8","11,128,419","1,624.7","15,828,609","2,299.0","21,815,801","3,448.0","15,023,179","2,150.0","12,613,591","1,698.4","3,396,815","444.9","9,357,787","1,490.8","10,859,080","1,748.8","16,551,841","2,765.6","161,694,534","25,365.3","52","58","US","NZ","3501105000",""
"New Zealand(*)","1","3501105000","CASEN,XMPC,NESOI","2018-2018","MT","10,514,536","1,891.6","9,679,657","1,411.9","12,250,041","1,857.7","12,359,545","2,312.9","12,139,781","2,001.0","3,932,464","723.8","13,835,658","2,299.8","3,064,854","517.1","1,379,387","239.0","4,043,291","783.9","11,328,835","2,134.3","12,256,072","2,341.1","106,784,121","18,514.1","8","10","US","NZ","3501105000",""
"New Zealand(*)","2","3501906000","CSNT/OC,NT-CA/GL","2015-2015","MT","2,599,708","238.0","6,704,667","605.9","5,503,168","498.5","11,100,204","1,018.3","10,540,296","996.3","4,788,997","524.5","4,062,084","454.2","6,863,150","854.7","2,216,827","280.4","4,362,491","501.9","3,635,210","466.8","6,163,259","824.5","68,540,061","7,264.0","70","77","US","NZ","3501906000",""
"New Zealand(*)","2","3501906000","CSNT/OC,NT-CA/GL","2016-2016","MT","4,934,954","636.7","3,497,361","449.1","3,937,451","525.2","2,371,968","283.7","2,187,649","398.4","1,034,925","216.1","1,760,531","296.8","4,587,866","852.4","2,328,979","423.3","2,242,396","328.7","4,830,044","583.4","7,131,423","941.8","40,845,547","5,935.5","48","61","US","NZ","3501906000",""
