"","","","","","","January","January","February","February","March","March","April","April","May","May","June","June","July","July","August","August","September","September","October","October","November","November","December","December","Total","Total","","","","","",""
"Partner","","HS Code","Product","Year","UOM","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Period/Period %  Change (Value)","Period/Period %  Change (Qty)","Reporter Code","Partner Code","Product Code",""
"World Total","1","0401502500","MC,NCS,10-45%,OT","2015-2015","LITER","619,999","305,845.0","1,167,456","546,176.0","507,938","259,649.0","734,390","384,426.0","604,902","280,026.0","375,037","195,088.0","1,595,257","811,827.0","405,534","219,640.0","1,095,588","602,839.0","1,120,696","604,163.0","934,480","483,144.0","1,050,103","649,174.0","10,211,380","5,341,997.0","12","34","US","R00","0401502500",""
"World Total","1","0401502500","MC,NCS,10-45%,OT","2016-2016","LITER","986,961","534,599.0","1,229,861","688,394.0","1,421,217","745,024.0","914,019","498,927.0","894,421","550,632.0","786,343","444,662.0","414,690","203,251.0","1,320,918","768,872.0","1,320,023","768,049.0","969,196","465,209.0","864,596","468,497.0","1,237,876","750,293.0","12,360,121","6,886,409.0","43","60","US","R00","0401502500",""
"World Total","1","0401502500","MC,NCS,10-45%,OT","2017-2017","LITER","1,355,562","784,390.0","1,080,554","652,706.0","1,475,220","858,938.0","1,072,672","573,021.0","986,577","536,118.0","907,479","494,689.0","1,358,708","660,731.0","1,497,764","1,093,738.0","988,636","424,328.0","1,140,292","977,575.0","1,549,091","784,999.0","885,260","464,492.0","14,297,815","8,305,725.0","-43","-41","US","R00","0401502500",""
"World Total","1","0401502500","MC,NCS,10-45%,OT","2018-2018","LITER","1,137,267","1,361,106.0","1,810,301","2,118,451.0","1,394,710","1,370,621.0","1,351,385","1,151,366.0","1,904,806","3,390,730.0","728,188","813,641.0","860,675","499,791.0","1,301,068","1,872,205.0","1,055,717","1,277,752.0","1,133,875","1,474,461.0","1,638,698","2,178,031.0","1,553,110","1,454,722.0","15,869,800","18,962,877.0","-5","-33","US","R00","0401502500",""
"World Total","2","0401202000","MC,N CN/S,1-6 NQ","2015-2015","LITER","248,934","261,465.0","242,438","258,279.0","229,616","264,514.0","221,209","258,596.0","206,986","248,058.0","199,628","247,518.0","205,670","252,094.0","210,695","247,672.0","198,399","224,580.0","177,296","202,609.0","246,853","291,746.0","261,339","293,544.0","2,649,063","3,050,675.0","6","1","US","R00","0401202000",""
"World Total","2","0401202000","MC,N CN/S,1-6 NQ","2016-2016","LITER","224,831","265,936.0","211,096","271,148.0","235,933","283,306.0","232,666","280,457.0","244,856","292,220.0","254,885","309,857.0","332,602","383,959.0","342,294","374,847.0","321,450","353,760.0","315,208","355,008.0","291,755","326,398.0","269,889","305,401.0","3,277,465","3,802,297.0","-7","-6","US","R00","0401202000",""
"World Total","2","0401202000","MC,N CN/S,1-6 NQ","2017-2017","LITER","269,577","305,981.0","239,255","285,956.0","289,186","339,718.0","377,893","461,327.0","769,760","1,005,201.0","604,299","761,053.0","669,920","827,896.0","746,214","891,205.0","697,565","836,935.0","741,813","898,311.0","524,261","603,498.0","433,641","511,444.0","6,363,384","7,728,525.0","-17","-15","US","R00","0401202000",""
"World Total","2","0401202000","MC,N CN/S,1-6 NQ","2018-2018","LITER","408,721","450,518.0","323,105","340,546.0","384,268","389,707.0","578,031","685,754.0","672,618","795,105.0","542,353","608,528.0","586,647","662,070.0","482,063","525,323.0","435,232","459,722.0","524,574","585,216.0","547,197","582,968.0","655,078","747,476.0","6,139,887","6,832,933.0","20","28","US","R00","0401202000",""
"World Total","3","0401204000","MC,N CN/S,1-6 OQ","2015-2015","LITER","23,033","21,530.0","65,094","69,612.0","0","0.0","10,942","10,728.0","10,954","14,226.0","34,837","34,152.0","11,767","11,554.0","0","0.0","7,833","7,680.0","51,255","56,824.0","0","0.0","38,617","41,210.0","254,332","267,516.0","","","US","R00","0401204000",""
